Using device: cuda
EP   1 | time 10.00s | reward  -8672.9 | evac 173 | died 307 | eps  nan | lr 0.00028 | loss  1.040
EP  19 | time  9.79s | reward  54781.1 | evac 436 | died  44 | eps  nan | lr 0.00008 | loss 12.461
EP  20 | time  8.99s | reward  52803.4 | evac 429 | died  51 | eps  nan | lr 0.00008 | loss 11.877
EP  21 | time  8.69s | reward  54547.0 | evac 432 | died  48 | eps  nan | lr 0.00007 | loss 11.828
EP  22 | time  8.08s | reward  47181.7 | evac 421 | died  59 | eps  nan | lr 0.00007 | loss 11.512
EP  23 | time  8.04s | reward  53619.8 | evac 429 | died  51 | eps  nan | lr 0.00006 | loss 11.256
EP  24 | time  8.52s | reward  52195.5 | evac 419 | died  61 | eps  nan | lr 0.00006 | loss 11.123
EP  25 | time  7.62s | reward  49343.4 | evac 412 | died  68 | eps  nan | lr 0.00005 | loss 11.500
EP  26 | time  8.55s | reward  50995.0 | evac 425 | died  55 | eps  nan | lr 0.00005 | loss 11.086
EP  27 | time  7.81s | reward  49508.9 | evac 425 | died  55 | eps  nan | lr 0.00005 | loss 11.468
EP  28 | time  8.34s | reward  52523.6 | evac 416 | died  64 | eps  nan | lr 0.00004 | loss 11.088
EP  29 | time  8.79s | reward  50076.8 | evac 428 | died  52 | eps  nan | lr 0.00004 | loss 10.555
EP  30 | time  8.82s | reward  54438.5 | evac 429 | died  51 | eps  nan | lr 0.00004 | loss 10.653
EP  31 | time  8.59s | reward  48444.3 | evac 411 | died  69 | eps  nan | lr 0.00004 | loss 10.503
EP  32 | time  8.18s | reward  49823.4 | evac 400 | died  80 | eps  nan | lr 0.00003 | loss 10.493
EP  33 | time  8.62s | reward  51558.3 | evac 414 | died  66 | eps  nan | lr 0.00003 | loss 10.129
EP  34 | time  8.33s | reward  43513.8 | evac 396 | died  84 | eps  nan | lr 0.00003 | loss  9.782
EP  35 | time  7.89s | reward  48794.7 | evac 403 | died  77 | eps  nan | lr 0.00003 | loss  9.459
EP  36 | time  8.67s | reward  44362.1 | evac 389 | died  91 | eps  nan | lr 0.00003 | loss  9.386
EP  37 | time  8.38s | reward  46380.9 | evac 394 | died  86 | eps  nan | lr 0.00002 | loss  9.549
EP  38 | time  8.79s | reward  48395.0 | evac 389 | died  91 | eps  nan | lr 0.00002 | loss  9.869
EP  39 | time  8.90s | reward  45584.1 | evac 383 | died  97 | eps  nan | lr 0.00002 | loss  8.958
EP  40 | time  8.78s | reward  42220.1 | evac 366 | died 114 | eps  nan | lr 0.00002 | loss  9.037
EP  41 | time  9.28s | reward  50284.2 | evac 407 | died  73 | eps  nan | lr 0.00002 | loss  9.174
EP  42 | time  7.79s | reward  47206.3 | evac 403 | died  77 | eps  nan | lr 0.00002 | loss  8.911
EP  43 | time  8.61s | reward  48464.8 | evac 379 | died 101 | eps  nan | lr 0.00002 | loss  9.214
EP  44 | time  8.12s | reward  48898.9 | evac 403 | died  77 | eps  nan | lr 0.00002 | loss  8.984
EP  45 | time  8.07s | reward  50891.7 | evac 404 | died  76 | eps  nan | lr 0.00001 | loss  9.185
EP  46 | time  8.44s | reward  49225.7 | evac 402 | died  78 | eps  nan | lr 0.00001 | loss  9.023
EP  47 | time  8.12s | reward  49817.4 | evac 390 | died  90 | eps  nan | lr 0.00001 | loss  9.811
EP  48 | time  8.49s | reward  51549.7 | evac 407 | died  73 | eps  nan | lr 0.00001 | loss 10.161
EP  49 | time  7.20s | reward  47028.6 | evac 400 | died  80 | eps  nan | lr 0.00001 | loss 10.009
EP  50 | time  7.08s | reward  50813.7 | evac 402 | died  78 | eps  nan | lr 0.00001 | loss 10.368
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_1_NoisyDuelingDDQN.csv
