Using device: cuda
EP   1 | time  8.86s | reward -14184.9 | evac  89 | died 391 | eps 0.953 | lr 0.00028 | loss  0.234
EP  39 | time 11.87s | reward  47975.2 | evac 405 | died  75 | eps 0.120 | lr 0.00002 | loss  3.667
EP  40 | time 11.05s | reward  46775.7 | evac 398 | died  82 | eps 0.113 | lr 0.00002 | loss  3.446
EP  41 | time  9.15s | reward  41524.5 | evac 403 | died  77 | eps 0.108 | lr 0.00002 | loss  3.526
EP  42 | time  9.24s | reward  45306.6 | evac 390 | died  90 | eps 0.102 | lr 0.00002 | loss  3.201
EP  43 | time  7.98s | reward  47353.2 | evac 406 | died  74 | eps 0.096 | lr 0.00002 | loss  3.101
EP  44 | time  8.69s | reward  46166.8 | evac 396 | died  84 | eps 0.091 | lr 0.00002 | loss  3.139
EP  45 | time 11.64s | reward  48880.0 | evac 403 | died  77 | eps 0.086 | lr 0.00001 | loss  3.020
EP  46 | time 11.53s | reward  43666.8 | evac 398 | died  82 | eps 0.082 | lr 0.00001 | loss  2.949
EP  47 | time 10.64s | reward  40112.0 | evac 390 | died  90 | eps 0.077 | lr 0.00001 | loss  2.655
EP  48 | time 12.14s | reward  39523.8 | evac 380 | died 100 | eps 0.073 | lr 0.00001 | loss  2.627
EP  49 | time 12.43s | reward  43464.4 | evac 392 | died  88 | eps 0.069 | lr 0.00001 | loss  2.478
EP  50 | time 11.01s | reward  35941.7 | evac 375 | died 105 | eps 0.066 | lr 0.00001 | loss  2.280
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_0_DuelingDDQNPrioritized.csv
