Using device: cuda
EP   1 | time 12.85s | reward  -9695.5 | evac 100 | died 380 | eps 0.951 | lr 0.00028 | loss  0.300
EP  24 | time 11.19s | reward  35970.0 | evac 377 | died 103 | eps 0.268 | lr 0.00006 | loss  2.063
EP  25 | time 11.87s | reward  45119.5 | evac 392 | died  88 | eps 0.253 | lr 0.00005 | loss  2.156
EP  26 | time 12.06s | reward  41247.3 | evac 392 | died  88 | eps 0.239 | lr 0.00005 | loss  2.224
EP  27 | time 11.66s | reward  38638.7 | evac 388 | died  92 | eps 0.227 | lr 0.00005 | loss  2.327
EP  28 | time 11.84s | reward  36630.2 | evac 381 | died  99 | eps 0.215 | lr 0.00004 | loss  2.282
EP  29 | time 12.58s | reward  45940.0 | evac 401 | died  79 | eps 0.202 | lr 0.00004 | loss  1.928
EP  30 | time 12.39s | reward  48058.8 | evac 403 | died  77 | eps 0.191 | lr 0.00004 | loss  2.155
EP  31 | time 12.33s | reward  47828.8 | evac 413 | died  67 | eps 0.181 | lr 0.00004 | loss  1.999
EP  32 | time 11.88s | reward  44251.1 | evac 391 | died  89 | eps 0.172 | lr 0.00003 | loss  2.150
EP  33 | time 11.74s | reward  43656.1 | evac 384 | died  96 | eps 0.163 | lr 0.00003 | loss  1.970
EP  34 | time 12.11s | reward  50386.7 | evac 413 | died  67 | eps 0.154 | lr 0.00003 | loss  2.038
EP  35 | time 12.78s | reward  47243.6 | evac 396 | died  84 | eps 0.145 | lr 0.00003 | loss  1.911
EP  36 | time 13.77s | reward  50388.6 | evac 397 | died  83 | eps 0.137 | lr 0.00003 | loss  1.855
EP  37 | time 13.04s | reward  48441.7 | evac 409 | died  71 | eps 0.129 | lr 0.00002 | loss  1.936
EP  38 | time 13.82s | reward  50483.9 | evac 403 | died  77 | eps 0.122 | lr 0.00002 | loss  1.718
EP  39 | time 12.91s | reward  47567.7 | evac 391 | died  89 | eps 0.115 | lr 0.00002 | loss  1.709
EP  40 | time 12.96s | reward  50778.5 | evac 407 | died  73 | eps 0.108 | lr 0.00002 | loss  1.681
EP  41 | time 11.43s | reward  37526.5 | evac 390 | died  90 | eps 0.103 | lr 0.00002 | loss  1.465
EP  42 | time 12.20s | reward  44011.0 | evac 397 | died  83 | eps 0.097 | lr 0.00002 | loss  1.621
EP  43 | time 10.38s | reward  43948.7 | evac 403 | died  77 | eps 0.091 | lr 0.00002 | loss  1.339
EP  44 | time  9.25s | reward  45888.0 | evac 403 | died  77 | eps 0.086 | lr 0.00002 | loss  1.433
EP  45 | time  9.25s | reward  39071.4 | evac 386 | died  94 | eps 0.081 | lr 0.00001 | loss  1.373
EP  46 | time  9.30s | reward  37036.0 | evac 382 | died  98 | eps 0.077 | lr 0.00001 | loss  1.249
EP  47 | time  9.22s | reward  34331.8 | evac 377 | died 103 | eps 0.073 | lr 0.00001 | loss  1.243
EP  48 | time  8.43s | reward  34839.5 | evac 369 | died 111 | eps 0.069 | lr 0.00001 | loss  1.205
EP  49 | time  9.10s | reward  37534.3 | evac 376 | died 104 | eps 0.065 | lr 0.00001 | loss  1.146
EP  50 | time  8.46s | reward  33710.4 | evac 388 | died  92 | eps 0.062 | lr 0.00001 | loss  1.178
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_3_DuelingDDQNPrioritized.csv
