Using device: cuda
EP   1 | time 26.61s | reward -19582.8 | evac  65 | died 415 | eps  nan | lr 0.00028 | loss  0.984
EP  30 | time 10.84s | reward  57704.5 | evac 399 | died  81 | eps  nan | lr 0.00004 | loss  2.827
EP  31 | time 10.00s | reward  45903.1 | evac 391 | died  89 | eps  nan | lr 0.00004 | loss  2.776
EP  32 | time  9.81s | reward  46561.0 | evac 410 | died  70 | eps  nan | lr 0.00003 | loss  2.875
EP  33 | time 10.39s | reward  49002.7 | evac 397 | died  83 | eps  nan | lr 0.00003 | loss  2.785
EP  34 | time 11.15s | reward  51794.1 | evac 414 | died  66 | eps  nan | lr 0.00003 | loss  2.804
EP  35 | time 10.53s | reward  50259.3 | evac 395 | died  85 | eps  nan | lr 0.00003 | loss  3.016
EP  36 | time 10.80s | reward  54614.3 | evac 397 | died  83 | eps  nan | lr 0.00003 | loss  3.129
EP  37 | time 10.48s | reward  52038.1 | evac 403 | died  77 | eps  nan | lr 0.00002 | loss  3.245
EP  38 | time 10.38s | reward  53218.9 | evac 406 | died  74 | eps  nan | lr 0.00002 | loss  3.337
EP  39 | time  9.32s | reward  44807.8 | evac 401 | died  79 | eps  nan | lr 0.00002 | loss  3.402
EP  40 | time 11.03s | reward  49025.3 | evac 392 | died  88 | eps  nan | lr 0.00002 | loss  3.318
EP  41 | time  9.11s | reward  43574.8 | evac 395 | died  85 | eps  nan | lr 0.00002 | loss  3.541
EP  42 | time 11.18s | reward  50489.6 | evac 395 | died  85 | eps  nan | lr 0.00002 | loss  3.549
EP  43 | time 10.49s | reward  43396.0 | evac 372 | died 108 | eps  nan | lr 0.00002 | loss  3.641
EP  44 | time 10.35s | reward  47728.5 | evac 394 | died  86 | eps  nan | lr 0.00002 | loss  3.408
EP  45 | time 11.17s | reward  52457.1 | evac 399 | died  81 | eps  nan | lr 0.00001 | loss  3.702
EP  46 | time 10.32s | reward  50315.7 | evac 406 | died  74 | eps  nan | lr 0.00001 | loss  3.737
EP  47 | time 10.64s | reward  51164.4 | evac 388 | died  92 | eps  nan | lr 0.00001 | loss  3.900
EP  48 | time 10.34s | reward  53634.7 | evac 392 | died  88 | eps  nan | lr 0.00001 | loss  4.020
EP  49 | time 10.10s | reward  47324.8 | evac 401 | died  79 | eps  nan | lr 0.00001 | loss  3.955
EP  50 | time  9.94s | reward  50415.0 | evac 393 | died  87 | eps  nan | lr 0.00001 | loss  3.948
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_16_NoisyDuelingDDQN.csv
