Using device: cuda
EP   1 | time 20.39s | reward -17263.4 | evac 161 | died 319 | eps 0.942 | lr 0.00028 | loss  0.203
EP  20 | time 11.18s | reward  46601.5 | evac 402 | died  78 | eps 0.305 | lr 0.00008 | loss  1.524
EP  21 | time 11.19s | reward  48180.0 | evac 404 | died  76 | eps 0.287 | lr 0.00007 | loss  1.575
EP  22 | time 12.77s | reward  55521.0 | evac 398 | died  82 | eps 0.269 | lr 0.00007 | loss  1.648
EP  23 | time 10.65s | reward  46091.3 | evac 392 | died  88 | eps 0.254 | lr 0.00006 | loss  1.822
EP  24 | time 12.14s | reward  51306.1 | evac 393 | died  87 | eps 0.239 | lr 0.00006 | loss  1.738
EP  25 | time 11.41s | reward  45870.2 | evac 383 | died  97 | eps 0.226 | lr 0.00005 | loss  1.762
EP  26 | time 11.15s | reward  47872.3 | evac 398 | died  82 | eps 0.213 | lr 0.00005 | loss  1.747
EP  27 | time 11.38s | reward  46488.3 | evac 395 | died  85 | eps 0.201 | lr 0.00005 | loss  1.701
EP  28 | time 11.59s | reward  50972.7 | evac 395 | died  85 | eps 0.189 | lr 0.00004 | loss  2.021
EP  29 | time 12.71s | reward  51478.5 | evac 395 | died  85 | eps 0.178 | lr 0.00004 | loss  1.940
EP  30 | time 13.37s | reward  54164.3 | evac 393 | died  87 | eps 0.167 | lr 0.00004 | loss  1.954
EP  31 | time 12.70s | reward  53163.5 | evac 394 | died  86 | eps 0.158 | lr 0.00004 | loss  2.169
EP  32 | time 12.78s | reward  52465.6 | evac 394 | died  86 | eps 0.148 | lr 0.00003 | loss  2.251
EP  33 | time 11.91s | reward  43746.2 | evac 380 | died 100 | eps 0.140 | lr 0.00003 | loss  2.346
EP  34 | time 13.67s | reward  60318.0 | evac 395 | died  85 | eps 0.131 | lr 0.00003 | loss  2.358
EP  35 | time 12.91s | reward  56478.2 | evac 396 | died  84 | eps 0.123 | lr 0.00003 | loss  2.351
EP  36 | time 10.91s | reward  44637.0 | evac 391 | died  89 | eps 0.117 | lr 0.00003 | loss  2.357
EP  37 | time 14.41s | reward  59229.1 | evac 385 | died  95 | eps 0.110 | lr 0.00002 | loss  2.480
EP  38 | time 13.24s | reward  54225.2 | evac 390 | died  90 | eps 0.103 | lr 0.00002 | loss  2.496
EP  39 | time 13.69s | reward  53250.6 | evac 387 | died  93 | eps 0.098 | lr 0.00002 | loss  2.604
EP  40 | time 12.69s | reward  52691.1 | evac 370 | died 110 | eps 0.092 | lr 0.00002 | loss  2.450
EP  41 | time 10.85s | reward  51522.5 | evac 383 | died  97 | eps 0.087 | lr 0.00002 | loss  2.363
EP  42 | time  9.22s | reward  48762.7 | evac 389 | died  91 | eps 0.082 | lr 0.00002 | loss  2.714
EP  43 | time  9.78s | reward  50089.4 | evac 383 | died  97 | eps 0.077 | lr 0.00002 | loss  2.344
EP  44 | time  9.09s | reward  43468.8 | evac 382 | died  98 | eps 0.074 | lr 0.00002 | loss  2.233
EP  45 | time  9.70s | reward  47258.5 | evac 384 | died  96 | eps 0.070 | lr 0.00001 | loss  2.184
EP  46 | time 10.42s | reward  54198.9 | evac 388 | died  92 | eps 0.066 | lr 0.00001 | loss  2.237
EP  47 | time 10.61s | reward  49233.7 | evac 372 | died 108 | eps 0.062 | lr 0.00001 | loss  2.109
EP  48 | time 10.80s | reward  54111.1 | evac 400 | died  80 | eps 0.058 | lr 0.00001 | loss  1.959
EP  49 | time 11.19s | reward  49002.6 | evac 387 | died  93 | eps 0.055 | lr 0.00001 | loss  1.861
EP  50 | time 11.73s | reward  51541.8 | evac 389 | died  91 | eps 0.052 | lr 0.00001 | loss  1.828
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_9_DuelingDDQNPrioritized.csv
