Using device: cuda
EP   1 | time 31.45s | reward -13959.9 | evac  78 | died 402 | eps  nan | lr 0.00028 | loss  1.181
EP  25 | time 10.23s | reward  57627.5 | evac 402 | died  78 | eps  nan | lr 0.00005 | loss 11.138
EP  26 | time  8.52s | reward  42768.9 | evac 384 | died  96 | eps  nan | lr 0.00005 | loss 11.051
EP  27 | time  9.12s | reward  48076.9 | evac 381 | died  99 | eps  nan | lr 0.00005 | loss 10.612
EP  28 | time  9.18s | reward  48616.2 | evac 387 | died  93 | eps  nan | lr 0.00004 | loss 10.352
EP  29 | time  9.27s | reward  51129.6 | evac 400 | died  80 | eps  nan | lr 0.00004 | loss 10.462
EP  30 | time  8.52s | reward  47040.0 | evac 384 | died  96 | eps  nan | lr 0.00004 | loss  9.935
EP  31 | time  8.98s | reward  44567.8 | evac 397 | died  83 | eps  nan | lr 0.00004 | loss  9.550
EP  32 | time  9.39s | reward  48864.6 | evac 388 | died  92 | eps  nan | lr 0.00003 | loss  9.655
EP  33 | time  8.55s | reward  42341.5 | evac 371 | died 109 | eps  nan | lr 0.00003 | loss  9.068
EP  34 | time  9.74s | reward  42479.6 | evac 382 | died  98 | eps  nan | lr 0.00003 | loss  8.840
EP  35 | time 10.96s | reward  43658.9 | evac 375 | died 105 | eps  nan | lr 0.00003 | loss  8.128
EP  36 | time  9.90s | reward  40282.2 | evac 373 | died 107 | eps  nan | lr 0.00003 | loss  7.808
EP  37 | time 10.45s | reward  45522.2 | evac 371 | died 109 | eps  nan | lr 0.00002 | loss  7.443
EP  38 | time 10.45s | reward  37795.7 | evac 347 | died 133 | eps  nan | lr 0.00002 | loss  7.209
EP  39 | time 11.09s | reward  39500.2 | evac 346 | died 134 | eps  nan | lr 0.00002 | loss  6.812
EP  40 | time 10.90s | reward  32572.9 | evac 346 | died 134 | eps  nan | lr 0.00002 | loss  6.590
EP  41 | time 10.84s | reward  33704.2 | evac 353 | died 127 | eps  nan | lr 0.00002 | loss  6.449
EP  42 | time 10.88s | reward  33639.7 | evac 339 | died 141 | eps  nan | lr 0.00002 | loss  6.454
EP  43 | time 10.20s | reward  29779.5 | evac 323 | died 157 | eps  nan | lr 0.00002 | loss  6.464
EP  44 | time 10.44s | reward  20517.2 | evac 285 | died 195 | eps  nan | lr 0.00002 | loss  6.142
EP  45 | time 10.94s | reward  29486.7 | evac 314 | died 166 | eps  nan | lr 0.00001 | loss  6.123
EP  46 | time 10.61s | reward  25012.0 | evac 306 | died 174 | eps  nan | lr 0.00001 | loss  5.965
EP  47 | time 11.39s | reward  30784.3 | evac 324 | died 156 | eps  nan | lr 0.00001 | loss  6.126
EP  48 | time 10.45s | reward  22044.0 | evac 326 | died 154 | eps  nan | lr 0.00001 | loss  6.001
EP  49 | time 10.31s | reward  27158.9 | evac 343 | died 137 | eps  nan | lr 0.00001 | loss  5.837
EP  50 | time 11.00s | reward  23616.0 | evac 339 | died 141 | eps  nan | lr 0.00001 | loss  5.991
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_20_NoisyDuelingDDQN.csv
