Using device: cuda
EP   1 | time 23.07s | reward  -2287.6 | evac 307 | died 173 | eps  nan | lr 0.00028 | loss  1.466
EP  34 | time  9.65s | reward  62216.3 | evac 446 | died  34 | eps  nan | lr 0.00003 | loss 22.476
EP  35 | time  9.59s | reward  52225.7 | evac 436 | died  44 | eps  nan | lr 0.00003 | loss 24.144
EP  36 | time  9.49s | reward  56351.3 | evac 446 | died  34 | eps  nan | lr 0.00003 | loss 24.018
EP  37 | time  9.98s | reward  58776.0 | evac 424 | died  56 | eps  nan | lr 0.00002 | loss 24.995
EP  38 | time  9.67s | reward  57038.6 | evac 438 | died  42 | eps  nan | lr 0.00002 | loss 25.396
EP  39 | time 10.48s | reward  56498.7 | evac 431 | died  49 | eps  nan | lr 0.00002 | loss 26.803
EP  40 | time 10.73s | reward  59897.5 | evac 438 | died  42 | eps  nan | lr 0.00002 | loss 28.819
EP  41 | time 10.58s | reward  59822.8 | evac 449 | died  31 | eps  nan | lr 0.00002 | loss 30.242
EP  42 | time  9.00s | reward  47932.3 | evac 432 | died  48 | eps  nan | lr 0.00002 | loss 31.700
EP  43 | time 10.32s | reward  60789.2 | evac 444 | died  36 | eps  nan | lr 0.00002 | loss 31.045
EP  44 | time  9.29s | reward  61301.9 | evac 449 | died  31 | eps  nan | lr 0.00002 | loss 32.170
EP  45 | time  8.83s | reward  51148.5 | evac 441 | died  39 | eps  nan | lr 0.00001 | loss 32.727
EP  46 | time  9.94s | reward  60932.7 | evac 442 | died  38 | eps  nan | lr 0.00001 | loss 32.146
EP  47 | time  9.09s | reward  55086.4 | evac 449 | died  31 | eps  nan | lr 0.00001 | loss 32.816
EP  48 | time  9.04s | reward  49393.2 | evac 435 | died  45 | eps  nan | lr 0.00001 | loss 33.039
EP  49 | time  8.26s | reward  63369.5 | evac 457 | died  23 | eps  nan | lr 0.00001 | loss 33.083
EP  50 | time  9.11s | reward  62933.8 | evac 457 | died  23 | eps  nan | lr 0.00001 | loss 34.102
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_12_NoisyDuelingDDQN.csv
