Using device: cuda
EP   1 | time 14.06s | reward -18381.4 | evac  60 | died 420 | eps  nan | lr 0.00028 | loss  1.035
EP  37 | time  8.67s | reward  38213.8 | evac 342 | died 138 | eps  nan | lr 0.00002 | loss 18.582
EP  38 | time  8.89s | reward  43299.9 | evac 349 | died 131 | eps  nan | lr 0.00002 | loss 17.552
EP  39 | time  8.96s | reward  44266.9 | evac 349 | died 131 | eps  nan | lr 0.00002 | loss 18.543
EP  40 | time  8.81s | reward  37137.7 | evac 335 | died 145 | eps  nan | lr 0.00002 | loss 18.894
EP  41 | time  8.98s | reward  41564.8 | evac 337 | died 143 | eps  nan | lr 0.00002 | loss 18.563
EP  42 | time  9.10s | reward  43279.0 | evac 338 | died 142 | eps  nan | lr 0.00002 | loss 18.986
EP  43 | time  8.96s | reward  39428.8 | evac 333 | died 147 | eps  nan | lr 0.00002 | loss 20.577
EP  44 | time  9.77s | reward  37271.8 | evac 318 | died 162 | eps  nan | lr 0.00002 | loss 20.687
EP  45 | time  9.74s | reward  43633.3 | evac 343 | died 137 | eps  nan | lr 0.00001 | loss 21.340
EP  46 | time  9.30s | reward  38613.7 | evac 319 | died 161 | eps  nan | lr 0.00001 | loss 19.651
EP  47 | time  8.92s | reward  42443.0 | evac 347 | died 133 | eps  nan | lr 0.00001 | loss 20.894
EP  48 | time  9.90s | reward  35282.4 | evac 311 | died 169 | eps  nan | lr 0.00001 | loss 19.836
EP  49 | time  9.03s | reward  36249.7 | evac 322 | died 158 | eps  nan | lr 0.00001 | loss 20.688
EP  50 | time  8.89s | reward  39772.8 | evac 329 | died 151 | eps  nan | lr 0.00001 | loss 20.619
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_5_NoisyDuelingDDQN.csv
