Using device: cuda
[vost#0:0/libx264 @ 0000019504af9200] Multiple -pix_fmt options specified for stream 0, only the last option '-pix_fmt yuv420p' will be used.
[vost#0:0/libx264 @ 0000028f575c9200] Multiple -pix_fmt options specified for stream 0, only the last option '-pix_fmt yuv420p' will be used.
[vost#0:0/libx264 @ 00000243957b9200] Multiple -pix_fmt options specified for stream 0, only the last option '-pix_fmt yuv420p' will be used.
[vost#0:0/libx264 @ 0000024857419200] Multiple -pix_fmt options specified for stream 0, only the last option '-pix_fmt yuv420p' will be used.
EP   1 | time 11.47s | reward  -6445.2 | evac 234 | died 246 | eps 0.947 | lr 0.00028 | loss  0.188
EP  34 | time 12.89s | reward  35790.2 | evac 386 | died  94 | eps 0.143 | lr 0.00003 | loss  1.652
EP  35 | time 13.75s | reward  32508.6 | evac 379 | died 101 | eps 0.135 | lr 0.00003 | loss  1.617
EP  36 | time 14.47s | reward  34843.4 | evac 368 | died 112 | eps 0.127 | lr 0.00003 | loss  1.432
EP  37 | time 14.76s | reward  35149.4 | evac 407 | died  73 | eps 0.120 | lr 0.00002 | loss  1.372
EP  38 | time 15.54s | reward  36901.6 | evac 384 | died  96 | eps 0.113 | lr 0.00002 | loss  1.322
EP  39 | time 13.82s | reward  31064.7 | evac 366 | died 114 | eps 0.107 | lr 0.00002 | loss  1.248
EP  40 | time 10.13s | reward  32741.4 | evac 381 | died  99 | eps 0.101 | lr 0.00002 | loss  1.140
EP  41 | time  9.34s | reward  40807.1 | evac 391 | died  89 | eps 0.095 | lr 0.00002 | loss  1.267
EP  42 | time 10.36s | reward  39218.9 | evac 400 | died  80 | eps 0.090 | lr 0.00002 | loss  1.084
EP  43 | time 11.12s | reward  37751.7 | evac 388 | died  92 | eps 0.085 | lr 0.00002 | loss  1.060
EP  44 | time 12.07s | reward  38321.6 | evac 379 | died 101 | eps 0.080 | lr 0.00002 | loss  1.036
EP  45 | time 15.75s | reward  42206.1 | evac 392 | died  88 | eps 0.075 | lr 0.00001 | loss  0.964
EP  46 | time 12.21s | reward  30591.2 | evac 370 | died 110 | eps 0.071 | lr 0.00001 | loss  0.816
EP  47 | time 14.36s | reward  39008.5 | evac 393 | died  87 | eps 0.067 | lr 0.00001 | loss  0.828
EP  48 | time 10.02s | reward  35247.9 | evac 388 | died  92 | eps 0.064 | lr 0.00001 | loss  0.892
EP  49 | time  9.09s | reward  30794.7 | evac 369 | died 111 | eps 0.060 | lr 0.00001 | loss  0.818
EP  50 | time  9.52s | reward  29158.7 | evac 356 | died 124 | eps 0.057 | lr 0.00001 | loss  0.807
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_2_DuelingDDQNPrioritized.csv
[done] video saved -> videos\DuelingDDQNPrioritized_env01.mp4
[done] video saved -> videos\DuelingDDQNPrioritized_env02.mp4
[done] video saved -> videos\DuelingDDQNPrioritized_env03.mp4
[done] video saved -> videos\DuelingDDQNPrioritized_env04.mp4
