Using device: cuda
EP   1 | time 27.48s | reward -17548.8 | evac 111 | died 369 | eps  nan | lr 0.00028 | loss  1.231
EP  30 | time  9.68s | reward  64866.3 | evac 434 | died  46 | eps  nan | lr 0.00004 | loss 13.921
EP  31 | time  9.13s | reward  59151.0 | evac 432 | died  48 | eps  nan | lr 0.00004 | loss 13.828
EP  32 | time 10.08s | reward  63121.6 | evac 430 | died  50 | eps  nan | lr 0.00003 | loss 13.513
EP  33 | time  8.39s | reward  49021.6 | evac 423 | died  57 | eps  nan | lr 0.00003 | loss 12.877
EP  34 | time 10.39s | reward  67930.7 | evac 427 | died  53 | eps  nan | lr 0.00003 | loss 13.518
EP  35 | time 10.40s | reward  65243.9 | evac 435 | died  45 | eps  nan | lr 0.00003 | loss 13.719
EP  36 | time  8.74s | reward  51479.9 | evac 414 | died  66 | eps  nan | lr 0.00003 | loss 13.584
EP  37 | time  8.76s | reward  48743.0 | evac 431 | died  49 | eps  nan | lr 0.00002 | loss 14.209
EP  38 | time  9.82s | reward  57091.1 | evac 409 | died  71 | eps  nan | lr 0.00002 | loss 14.150
EP  39 | time  9.36s | reward  58587.0 | evac 423 | died  57 | eps  nan | lr 0.00002 | loss 13.863
EP  40 | time  9.22s | reward  54784.1 | evac 425 | died  55 | eps  nan | lr 0.00002 | loss 13.968
EP  41 | time  9.75s | reward  58371.1 | evac 415 | died  65 | eps  nan | lr 0.00002 | loss 13.730
EP  42 | time 10.12s | reward  64159.1 | evac 438 | died  42 | eps  nan | lr 0.00002 | loss 13.257
EP  43 | time  9.68s | reward  55018.2 | evac 431 | died  49 | eps  nan | lr 0.00002 | loss 13.153
EP  44 | time  9.66s | reward  47999.4 | evac 404 | died  76 | eps  nan | lr 0.00002 | loss 12.848
EP  45 | time 10.09s | reward  57290.2 | evac 430 | died  50 | eps  nan | lr 0.00001 | loss 12.861
EP  46 | time  9.89s | reward  51220.0 | evac 419 | died  61 | eps  nan | lr 0.00001 | loss 13.057
EP  47 | time  9.36s | reward  51607.1 | evac 413 | died  67 | eps  nan | lr 0.00001 | loss 12.832
EP  48 | time 10.16s | reward  52997.6 | evac 415 | died  65 | eps  nan | lr 0.00001 | loss 12.257
EP  49 | time  8.95s | reward  50476.1 | evac 414 | died  66 | eps  nan | lr 0.00001 | loss 12.060
EP  50 | time  8.72s | reward  39780.0 | evac 392 | died  88 | eps  nan | lr 0.00001 | loss 11.799
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_17_NoisyDuelingDDQN.csv
