Using device: cuda
EP   1 | time 14.03s | reward -15559.3 | evac  66 | died 414 | eps  nan | lr 0.00028 | loss  1.113
EP  34 | time 10.47s | reward  45319.8 | evac 350 | died 130 | eps  nan | lr 0.00003 | loss  3.575
EP  35 | time  9.60s | reward  30100.0 | evac 289 | died 191 | eps  nan | lr 0.00003 | loss  3.567
EP  36 | time 10.82s | reward  42375.9 | evac 342 | died 138 | eps  nan | lr 0.00003 | loss  3.471
EP  37 | time 10.29s | reward  28396.4 | evac 279 | died 201 | eps  nan | lr 0.00002 | loss  3.431
EP  38 | time  9.78s | reward  39985.7 | evac 327 | died 153 | eps  nan | lr 0.00002 | loss  3.400
EP  39 | time 10.25s | reward  36509.6 | evac 316 | died 164 | eps  nan | lr 0.00002 | loss  3.412
EP  40 | time  9.77s | reward  39390.6 | evac 334 | died 146 | eps  nan | lr 0.00002 | loss  3.318
EP  41 | time 10.74s | reward  33102.9 | evac 283 | died 197 | eps  nan | lr 0.00002 | loss  3.486
EP  42 | time 10.07s | reward  39833.8 | evac 330 | died 150 | eps  nan | lr 0.00002 | loss  3.373
EP  43 | time 11.22s | reward  30627.0 | evac 278 | died 202 | eps  nan | lr 0.00002 | loss  3.472
EP  44 | time  8.10s | reward  37198.4 | evac 323 | died 157 | eps  nan | lr 0.00002 | loss  3.388
EP  45 | time  8.12s | reward  37008.2 | evac 315 | died 165 | eps  nan | lr 0.00001 | loss  3.423
EP  46 | time  8.74s | reward  31701.9 | evac 284 | died 196 | eps  nan | lr 0.00001 | loss  3.347
EP  47 | time  8.96s | reward  38866.1 | evac 311 | died 169 | eps  nan | lr 0.00001 | loss  3.239
EP  48 | time  8.30s | reward  34308.5 | evac 305 | died 175 | eps  nan | lr 0.00001 | loss  3.358
EP  49 | time  8.49s | reward  35916.5 | evac 298 | died 182 | eps  nan | lr 0.00001 | loss  3.405
EP  50 | time  9.36s | reward  30041.9 | evac 290 | died 190 | eps  nan | lr 0.00001 | loss  3.301
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_4_NoisyDuelingDDQN.csv
