Using device: cuda
EP   1 | time 24.04s | reward  -9069.9 | evac  76 | died 404 | eps 0.954 | lr 0.00028 | loss  0.350
EP  26 | time 12.39s | reward  35585.8 | evac 371 | died 109 | eps 0.261 | lr 0.00005 | loss  2.856
EP  27 | time 12.46s | reward  36037.5 | evac 354 | died 126 | eps 0.248 | lr 0.00005 | loss  2.849
EP  28 | time 11.83s | reward  34210.1 | evac 343 | died 137 | eps 0.235 | lr 0.00004 | loss  2.849
EP  29 | time 11.78s | reward  36724.7 | evac 360 | died 120 | eps 0.224 | lr 0.00004 | loss  3.070
EP  30 | time 12.88s | reward  34063.9 | evac 337 | died 143 | eps 0.213 | lr 0.00004 | loss  2.659
EP  31 | time 13.11s | reward  38134.4 | evac 354 | died 126 | eps 0.201 | lr 0.00004 | loss  2.649
EP  32 | time 13.08s | reward  37248.8 | evac 362 | died 118 | eps 0.191 | lr 0.00003 | loss  2.866
EP  33 | time 12.81s | reward  40370.9 | evac 358 | died 122 | eps 0.181 | lr 0.00003 | loss  2.653
EP  34 | time 12.29s | reward  37999.3 | evac 368 | died 112 | eps 0.172 | lr 0.00003 | loss  2.419
EP  35 | time 14.09s | reward  40091.7 | evac 365 | died 115 | eps 0.163 | lr 0.00003 | loss  2.429
EP  36 | time 13.77s | reward  34531.9 | evac 355 | died 125 | eps 0.155 | lr 0.00003 | loss  2.276
EP  37 | time 13.39s | reward  32599.2 | evac 345 | died 135 | eps 0.147 | lr 0.00002 | loss  2.397
EP  38 | time 14.06s | reward  32533.7 | evac 332 | died 148 | eps 0.140 | lr 0.00002 | loss  2.295
EP  39 | time 13.70s | reward  35968.0 | evac 362 | died 118 | eps 0.133 | lr 0.00002 | loss  2.340
EP  40 | time 14.10s | reward  35537.2 | evac 351 | died 129 | eps 0.126 | lr 0.00002 | loss  2.089
EP  41 | time 12.78s | reward  29835.2 | evac 337 | died 143 | eps 0.120 | lr 0.00002 | loss  2.111
EP  42 | time 14.27s | reward  38091.6 | evac 355 | died 125 | eps 0.113 | lr 0.00002 | loss  1.944
EP  43 | time 14.90s | reward  37835.8 | evac 341 | died 139 | eps 0.107 | lr 0.00002 | loss  1.876
EP  44 | time 13.06s | reward  30174.5 | evac 336 | died 144 | eps 0.102 | lr 0.00002 | loss  1.980
EP  45 | time 13.44s | reward  32070.1 | evac 345 | died 135 | eps 0.096 | lr 0.00001 | loss  1.755
EP  46 | time 11.53s | reward  30467.6 | evac 341 | died 139 | eps 0.092 | lr 0.00001 | loss  1.687
EP  47 | time 11.25s | reward  24705.7 | evac 325 | died 155 | eps 0.087 | lr 0.00001 | loss  1.800
EP  48 | time 11.77s | reward  28789.4 | evac 347 | died 133 | eps 0.082 | lr 0.00001 | loss  1.675
EP  49 | time 12.10s | reward  33412.5 | evac 342 | died 138 | eps 0.078 | lr 0.00001 | loss  1.447
EP  50 | time 11.52s | reward  27349.9 | evac 323 | died 157 | eps 0.074 | lr 0.00001 | loss  1.386
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_16_DuelingDDQNPrioritized.csv
