Using device: cuda
EP   1 | time 16.32s | reward -16136.7 | evac  45 | died 435 | eps  nan | lr 0.00028 | loss  0.787
EP  38 | time  9.31s | reward  48535.8 | evac 380 | died 100 | eps  nan | lr 0.00002 | loss  5.268
EP  39 | time 10.15s | reward  48704.1 | evac 378 | died 102 | eps  nan | lr 0.00002 | loss  5.152
EP  40 | time 10.07s | reward  53634.9 | evac 383 | died  97 | eps  nan | lr 0.00002 | loss  5.211
EP  41 | time 10.25s | reward  55424.2 | evac 391 | died  89 | eps  nan | lr 0.00002 | loss  5.257
EP  42 | time  9.78s | reward  46986.3 | evac 380 | died 100 | eps  nan | lr 0.00002 | loss  5.372
EP  43 | time 10.10s | reward  60711.9 | evac 414 | died  66 | eps  nan | lr 0.00002 | loss  5.402
EP  44 | time 10.33s | reward  44731.0 | evac 371 | died 109 | eps  nan | lr 0.00002 | loss  5.297
EP  45 | time 10.64s | reward  49929.1 | evac 381 | died  99 | eps  nan | lr 0.00001 | loss  5.152
EP  46 | time 10.08s | reward  46261.4 | evac 376 | died 104 | eps  nan | lr 0.00001 | loss  5.070
EP  47 | time 11.33s | reward  52741.6 | evac 370 | died 110 | eps  nan | lr 0.00001 | loss  5.082
EP  48 | time  9.59s | reward  43326.7 | evac 358 | died 122 | eps  nan | lr 0.00001 | loss  5.273
EP  49 | time  8.50s | reward  48715.9 | evac 375 | died 105 | eps  nan | lr 0.00001 | loss  5.107
EP  50 | time  8.37s | reward  45016.2 | evac 357 | died 123 | eps  nan | lr 0.00001 | loss  5.042
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_6_NoisyDuelingDDQN.csv
