Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time 48.54s | reward -23874.6 | evac  21 | died 459 | eps  nan | lr 0.00029 | loss  0.791
EP 22/100 | time 56.96s | reward  52530.4 | evac 378 | died 102 | eps  nan | lr 0.00014 | loss 13.283
EP 23/100 | time 54.52s | reward  50687.5 | evac 383 | died  97 | eps  nan | lr 0.00014 | loss 13.932
EP 24/100 | time 55.68s | reward  51802.8 | evac 383 | died  97 | eps  nan | lr 0.00013 | loss 14.179
EP 25/100 | time 58.40s | reward  55130.2 | evac 385 | died  95 | eps  nan | lr 0.00013 | loss 13.931
EP 26/100 | time 58.30s | reward  53389.6 | evac 370 | died 110 | eps  nan | lr 0.00012 | loss 12.744
EP 27/100 | time 55.01s | reward  48867.5 | evac 366 | died 114 | eps  nan | lr 0.00012 | loss 11.956
EP 28/100 | time 57.15s | reward  50792.2 | evac 364 | died 116 | eps  nan | lr 0.00012 | loss 12.633
EP 29/100 | time 56.02s | reward  53258.6 | evac 385 | died  95 | eps  nan | lr 0.00011 | loss 13.120
EP 30/100 | time 53.78s | reward  49351.7 | evac 381 | died  99 | eps  nan | lr 0.00011 | loss 12.439
EP 31/100 | time 58.45s | reward  55269.0 | evac 380 | died 100 | eps  nan | lr 0.00010 | loss 12.932
EP 32/100 | time 51.48s | reward  46980.7 | evac 379 | died 101 | eps  nan | lr 0.00010 | loss 14.035
EP 33/100 | time 56.93s | reward  50715.8 | evac 359 | died 121 | eps  nan | lr 0.00010 | loss 15.021
EP 34/100 | time 54.50s | reward  51215.2 | evac 383 | died  97 | eps  nan | lr 0.00009 | loss 15.665
EP 35/100 | time 56.71s | reward  53345.5 | evac 379 | died 101 | eps  nan | lr 0.00009 | loss 16.210
EP 36/100 | time 56.25s | reward  51358.7 | evac 380 | died 100 | eps  nan | lr 0.00009 | loss 16.924
EP 37/100 | time 56.97s | reward  54658.2 | evac 391 | died  89 | eps  nan | lr 0.00009 | loss 17.834
EP 38/100 | time 53.61s | reward  51357.7 | evac 390 | died  90 | eps  nan | lr 0.00008 | loss 19.708
EP 39/100 | time 57.00s | reward  55253.6 | evac 404 | died  76 | eps  nan | lr 0.00008 | loss 18.626
EP 40/100 | time 56.19s | reward  50132.6 | evac 361 | died 119 | eps  nan | lr 0.00008 | loss 19.563
EP 41/100 | time 59.61s | reward  55782.5 | evac 378 | died 102 | eps  nan | lr 0.00007 | loss 19.509
EP 42/100 | time 57.01s | reward  52234.0 | evac 373 | died 107 | eps  nan | lr 0.00007 | loss 19.235
EP 43/100 | time 56.83s | reward  52500.7 | evac 368 | died 112 | eps  nan | lr 0.00007 | loss 19.645
EP 44/100 | time 54.27s | reward  49160.4 | evac 369 | died 111 | eps  nan | lr 0.00007 | loss 19.685
EP 45/100 | time 57.13s | reward  52021.4 | evac 369 | died 111 | eps  nan | lr 0.00006 | loss 20.213
EP 46/100 | time 56.73s | reward  50445.7 | evac 361 | died 119 | eps  nan | lr 0.00006 | loss 20.028
EP 47/100 | time 58.76s | reward  54196.9 | evac 371 | died 109 | eps  nan | lr 0.00006 | loss 20.022
EP 48/100 | time 56.07s | reward  52406.9 | evac 378 | died 102 | eps  nan | lr 0.00006 | loss 20.482
EP 49/100 | time 56.17s | reward  50748.6 | evac 367 | died 113 | eps  nan | lr 0.00006 | loss 20.547
EP 50/100 | time 54.36s | reward  50492.2 | evac 377 | died 103 | eps  nan | lr 0.00005 | loss 20.583
EP 51/100 | time 55.50s | reward  51058.7 | evac 371 | died 109 | eps  nan | lr 0.00005 | loss 21.579
EP 52/100 | time 60.40s | reward  56653.6 | evac 373 | died 107 | eps  nan | lr 0.00005 | loss 21.473
EP 53/100 | time 56.08s | reward  52249.3 | evac 382 | died  98 | eps  nan | lr 0.00005 | loss 22.502
EP 54/100 | time 59.57s | reward  59530.2 | evac 395 | died  85 | eps  nan | lr 0.00005 | loss 23.279
EP 55/100 | time 60.51s | reward  58257.1 | evac 380 | died 100 | eps  nan | lr 0.00005 | loss 23.032
EP 56/100 | time 56.77s | reward  52847.6 | evac 372 | died 108 | eps  nan | lr 0.00004 | loss 23.913
EP 57/100 | time 60.19s | reward  59595.0 | evac 390 | died  90 | eps  nan | lr 0.00004 | loss 23.134
EP 58/100 | time 59.38s | reward  56460.9 | evac 377 | died 103 | eps  nan | lr 0.00004 | loss 24.377
EP 59/100 | time 60.47s | reward  56500.3 | evac 373 | died 107 | eps  nan | lr 0.00004 | loss 23.491
EP 60/100 | time 54.46s | reward  51361.8 | evac 383 | died  97 | eps  nan | lr 0.00004 | loss 23.063
EP 61/100 | time 60.41s | reward  58517.5 | evac 388 | died  92 | eps  nan | lr 0.00004 | loss 22.911
EP 62/100 | time 55.34s | reward  48797.2 | evac 365 | died 115 | eps  nan | lr 0.00004 | loss 24.693
EP 63/100 | time 56.86s | reward  54779.3 | evac 386 | died  94 | eps  nan | lr 0.00004 | loss 23.071
EP 64/100 | time 54.49s | reward  49264.8 | evac 361 | died 119 | eps  nan | lr 0.00003 | loss 21.556
EP 65/100 | time 52.71s | reward  46973.5 | evac 365 | died 115 | eps  nan | lr 0.00003 | loss 22.617
EP 66/100 | time 58.41s | reward  56016.8 | evac 381 | died  99 | eps  nan | lr 0.00003 | loss 21.110
EP 67/100 | time 53.66s | reward  45290.8 | evac 346 | died 134 | eps  nan | lr 0.00003 | loss 20.614
EP 68/100 | time 54.54s | reward  50041.8 | evac 375 | died 105 | eps  nan | lr 0.00003 | loss 20.830
EP 69/100 | time 53.52s | reward  49877.3 | evac 377 | died 103 | eps  nan | lr 0.00003 | loss 20.820
EP 70/100 | time 56.47s | reward  53822.1 | evac 386 | died  94 | eps  nan | lr 0.00003 | loss 20.106
EP 71/100 | time 54.70s | reward  52051.9 | evac 388 | died  92 | eps  nan | lr 0.00003 | loss 20.928
EP 72/100 | time 59.99s | reward  56877.8 | evac 381 | died  99 | eps  nan | lr 0.00003 | loss 20.527
EP 73/100 | time 58.80s | reward  50355.0 | evac 350 | died 130 | eps  nan | lr 0.00003 | loss 19.846
EP 74/100 | time 58.26s | reward  52046.7 | evac 364 | died 116 | eps  nan | lr 0.00002 | loss 19.337
EP 75/100 | time 54.09s | reward  50083.4 | evac 386 | died  94 | eps  nan | lr 0.00002 | loss 19.034
EP 76/100 | time 60.91s | reward  56432.1 | evac 370 | died 110 | eps  nan | lr 0.00002 | loss 17.718
EP 77/100 | time 56.01s | reward  50912.4 | evac 371 | died 109 | eps  nan | lr 0.00002 | loss 16.958
EP 78/100 | time 63.70s | reward  61970.3 | evac 383 | died  97 | eps  nan | lr 0.00002 | loss 17.212
EP 79/100 | time 58.50s | reward  51707.2 | evac 359 | died 121 | eps  nan | lr 0.00002 | loss 16.683
EP 80/100 | time 56.42s | reward  49311.8 | evac 357 | died 123 | eps  nan | lr 0.00002 | loss 16.161
EP 81/100 | time 52.28s | reward  45724.0 | evac 360 | died 120 | eps  nan | lr 0.00002 | loss 16.850
EP 82/100 | time 58.48s | reward  51036.3 | evac 360 | died 120 | eps  nan | lr 0.00002 | loss 15.843
EP 83/100 | time 58.61s | reward  50856.5 | evac 357 | died 123 | eps  nan | lr 0.00002 | loss 14.992
EP 84/100 | time 59.88s | reward  57325.7 | evac 384 | died  96 | eps  nan | lr 0.00002 | loss 14.925
EP 85/100 | time 42.47s | reward  51159.6 | evac 364 | died 116 | eps  nan | lr 0.00002 | loss 15.210
EP 86/100 | time  4.86s | reward  46633.9 | evac 364 | died 116 | eps  nan | lr 0.00002 | loss 14.978
EP 87/100 | time  4.84s | reward  48822.0 | evac 364 | died 116 | eps  nan | lr 0.00002 | loss 13.577
EP 88/100 | time  4.79s | reward  49383.1 | evac 362 | died 118 | eps  nan | lr 0.00002 | loss 13.680
EP 89/100 | time  4.85s | reward  50908.2 | evac 358 | died 122 | eps  nan | lr 0.00001 | loss 13.641
EP 90/100 | time  4.62s | reward  47434.9 | evac 367 | died 113 | eps  nan | lr 0.00001 | loss 13.401
EP 91/100 | time  5.02s | reward  49130.4 | evac 357 | died 123 | eps  nan | lr 0.00001 | loss 13.419
EP 92/100 | time  5.16s | reward  56723.6 | evac 381 | died  99 | eps  nan | lr 0.00001 | loss 12.350
EP 93/100 | time  4.78s | reward  48182.2 | evac 365 | died 115 | eps  nan | lr 0.00001 | loss 12.712
EP 94/100 | time  4.99s | reward  51283.1 | evac 372 | died 108 | eps  nan | lr 0.00001 | loss 12.568
EP 95/100 | time  5.00s | reward  49749.4 | evac 368 | died 112 | eps  nan | lr 0.00001 | loss 11.806
EP 96/100 | time  5.16s | reward  47509.9 | evac 353 | died 127 | eps  nan | lr 0.00001 | loss 12.673
EP 97/100 | time  5.64s | reward  49415.8 | evac 345 | died 135 | eps  nan | lr 0.00001 | loss 12.135
EP 98/100 | time  5.61s | reward  51150.3 | evac 350 | died 130 | eps  nan | lr 0.00001 | loss 12.524
EP 99/100 | time  5.04s | reward  46621.0 | evac 348 | died 132 | eps  nan | lr 0.00001 | loss 11.950
EP 100/100 | time  5.20s | reward  50880.9 | evac 368 | died 112 | eps  nan | lr 0.00001 | loss 11.870
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_5_NoisyDuelingDDQN.csv
