Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time  5.28s | reward -17681.0 | evac  65 | died 415 | eps 0.976 | lr 0.00029 | loss  0.135
EP 31/100 | time  6.38s | reward  15413.9 | evac 262 | died 218 | eps 0.453 | lr 0.00010 | loss  7.101
EP 32/100 | time  5.60s | reward  13784.9 | evac 275 | died 205 | eps 0.442 | lr 0.00010 | loss  6.546
EP 33/100 | time  5.69s | reward  17045.6 | evac 287 | died 193 | eps 0.430 | lr 0.00010 | loss  6.412
EP 34/100 | time  5.82s | reward  17148.5 | evac 282 | died 198 | eps 0.419 | lr 0.00009 | loss  6.437
EP 35/100 | time  5.98s | reward  17902.6 | evac 274 | died 206 | eps 0.408 | lr 0.00009 | loss  7.019
EP 36/100 | time  6.07s | reward  18300.6 | evac 310 | died 170 | eps 0.396 | lr 0.00009 | loss  6.865
EP 37/100 | time  5.45s | reward  16445.2 | evac 296 | died 184 | eps 0.386 | lr 0.00009 | loss  6.725
EP 38/100 | time  6.26s | reward  17150.5 | evac 316 | died 164 | eps 0.376 | lr 0.00008 | loss  6.817
EP 39/100 | time  5.09s | reward  11828.3 | evac 318 | died 162 | eps 0.367 | lr 0.00008 | loss  6.972
EP 40/100 | time  5.90s | reward  14506.0 | evac 317 | died 163 | eps 0.357 | lr 0.00008 | loss  5.577
EP 41/100 | time  5.73s | reward  16867.5 | evac 309 | died 171 | eps 0.348 | lr 0.00007 | loss  6.251
EP 42/100 | time  5.46s | reward  14090.0 | evac 310 | died 170 | eps 0.339 | lr 0.00007 | loss  6.275
EP 43/100 | time  6.37s | reward  19603.0 | evac 351 | died 129 | eps 0.330 | lr 0.00007 | loss  5.761
EP 44/100 | time  5.63s | reward  16074.1 | evac 332 | died 148 | eps 0.321 | lr 0.00007 | loss  5.817
EP 45/100 | time  5.09s | reward  16890.6 | evac 329 | died 151 | eps 0.313 | lr 0.00006 | loss  5.935
EP 46/100 | time  6.96s | reward  13539.6 | evac 325 | died 155 | eps 0.304 | lr 0.00006 | loss  5.822
EP 47/100 | time  5.86s | reward  19277.5 | evac 324 | died 156 | eps 0.296 | lr 0.00006 | loss  5.772
EP 48/100 | time  6.30s | reward  17634.3 | evac 324 | died 156 | eps 0.288 | lr 0.00006 | loss  5.730
EP 49/100 | time  5.83s | reward  19339.5 | evac 313 | died 167 | eps 0.280 | lr 0.00006 | loss  5.302
EP 50/100 | time  6.08s | reward  21666.7 | evac 355 | died 125 | eps 0.273 | lr 0.00005 | loss  5.387
EP 51/100 | time  5.77s | reward  15991.1 | evac 303 | died 177 | eps 0.266 | lr 0.00005 | loss  5.253
EP 52/100 | time  6.67s | reward  17553.5 | evac 341 | died 139 | eps 0.258 | lr 0.00005 | loss  6.150
EP 53/100 | time  6.41s | reward  16595.5 | evac 332 | died 148 | eps 0.251 | lr 0.00005 | loss  4.854
EP 54/100 | time  5.58s | reward  20946.6 | evac 346 | died 134 | eps 0.244 | lr 0.00005 | loss  5.115
EP 55/100 | time  5.96s | reward  19867.1 | evac 333 | died 147 | eps 0.238 | lr 0.00005 | loss  5.084
EP 56/100 | time  5.48s | reward  22072.8 | evac 351 | died 129 | eps 0.231 | lr 0.00004 | loss  4.038
EP 57/100 | time  6.71s | reward  18305.2 | evac 329 | died 151 | eps 0.226 | lr 0.00004 | loss  4.417
EP 58/100 | time  5.44s | reward  17571.6 | evac 346 | died 134 | eps 0.220 | lr 0.00004 | loss  4.523
EP 59/100 | time  6.34s | reward  19030.6 | evac 340 | died 140 | eps 0.214 | lr 0.00004 | loss  4.057
EP 60/100 | time  7.06s | reward  21611.3 | evac 351 | died 129 | eps 0.209 | lr 0.00004 | loss  4.180
EP 61/100 | time  5.98s | reward  21751.3 | evac 348 | died 132 | eps 0.203 | lr 0.00004 | loss  3.431
EP 62/100 | time  5.28s | reward  22200.4 | evac 356 | died 124 | eps 0.198 | lr 0.00004 | loss  3.470
EP 63/100 | time  6.37s | reward  21297.9 | evac 347 | died 133 | eps 0.192 | lr 0.00004 | loss  3.832
EP 64/100 | time  6.08s | reward  15337.4 | evac 303 | died 177 | eps 0.187 | lr 0.00003 | loss  3.405
EP 65/100 | time  6.44s | reward  23990.9 | evac 376 | died 104 | eps 0.182 | lr 0.00003 | loss  3.615
EP 66/100 | time  5.42s | reward  21069.4 | evac 332 | died 148 | eps 0.177 | lr 0.00003 | loss  3.330
EP 67/100 | time  5.81s | reward  18830.1 | evac 339 | died 141 | eps 0.172 | lr 0.00003 | loss  3.047
EP 68/100 | time  5.40s | reward  19416.5 | evac 345 | died 135 | eps 0.168 | lr 0.00003 | loss  3.414
EP 69/100 | time  5.63s | reward  23013.0 | evac 353 | died 127 | eps 0.164 | lr 0.00003 | loss  3.002
EP 70/100 | time  5.51s | reward  21540.7 | evac 346 | died 134 | eps 0.159 | lr 0.00003 | loss  3.203
EP 71/100 | time  5.68s | reward  21776.9 | evac 345 | died 135 | eps 0.155 | lr 0.00003 | loss  2.851
EP 72/100 | time  5.89s | reward  16577.0 | evac 304 | died 176 | eps 0.151 | lr 0.00003 | loss  2.796
EP 73/100 | time  5.62s | reward  21403.7 | evac 335 | died 145 | eps 0.146 | lr 0.00003 | loss  2.910
EP 74/100 | time  5.50s | reward  20849.8 | evac 342 | died 138 | eps 0.143 | lr 0.00002 | loss  2.818
EP 75/100 | time  5.39s | reward  19669.5 | evac 330 | died 150 | eps 0.139 | lr 0.00002 | loss  2.588
EP 76/100 | time  5.95s | reward  24629.0 | evac 347 | died 133 | eps 0.135 | lr 0.00002 | loss  2.584
EP 77/100 | time  6.08s | reward  26971.4 | evac 365 | died 115 | eps 0.131 | lr 0.00002 | loss  2.495
EP 78/100 | time  6.00s | reward  23305.4 | evac 353 | died 127 | eps 0.128 | lr 0.00002 | loss  2.934
EP 79/100 | time  5.98s | reward  24891.4 | evac 350 | died 130 | eps 0.124 | lr 0.00002 | loss  2.998
EP 80/100 | time  4.70s | reward  22962.4 | evac 335 | died 145 | eps 0.121 | lr 0.00002 | loss  2.833
EP 81/100 | time  4.28s | reward  22078.0 | evac 347 | died 133 | eps 0.118 | lr 0.00002 | loss  2.742
EP 82/100 | time  4.18s | reward  24998.9 | evac 360 | died 120 | eps 0.114 | lr 0.00002 | loss  2.638
EP 83/100 | time  4.29s | reward  22047.0 | evac 369 | died 111 | eps 0.111 | lr 0.00002 | loss  3.004
EP 84/100 | time  3.75s | reward  22900.4 | evac 352 | died 128 | eps 0.108 | lr 0.00002 | loss  2.733
EP 85/100 | time  3.13s | reward  20372.7 | evac 307 | died 173 | eps 0.106 | lr 0.00002 | loss  2.837
EP 86/100 | time  3.19s | reward  16427.5 | evac 331 | died 149 | eps 0.103 | lr 0.00002 | loss  2.788
EP 87/100 | time  3.05s | reward  20920.8 | evac 350 | died 130 | eps 0.100 | lr 0.00002 | loss  3.178
EP 88/100 | time  3.09s | reward  24646.4 | evac 367 | died 113 | eps 0.098 | lr 0.00002 | loss  2.942
EP 89/100 | time  3.11s | reward  18887.7 | evac 358 | died 122 | eps 0.095 | lr 0.00001 | loss  2.519
EP 90/100 | time  3.23s | reward  21376.9 | evac 328 | died 152 | eps 0.092 | lr 0.00001 | loss  2.628
EP 91/100 | time  3.17s | reward  23938.7 | evac 356 | died 124 | eps 0.090 | lr 0.00001 | loss  2.862
EP 92/100 | time  3.59s | reward  20114.2 | evac 338 | died 142 | eps 0.088 | lr 0.00001 | loss  3.164
EP 93/100 | time  3.17s | reward  17884.9 | evac 346 | died 134 | eps 0.086 | lr 0.00001 | loss  2.763
EP 94/100 | time  3.51s | reward  21184.1 | evac 369 | died 111 | eps 0.083 | lr 0.00001 | loss  3.063
EP 95/100 | time  3.72s | reward  23719.0 | evac 333 | died 147 | eps 0.081 | lr 0.00001 | loss  2.975
EP 96/100 | time  5.61s | reward  16911.9 | evac 306 | died 174 | eps 0.079 | lr 0.00001 | loss  3.186
EP 97/100 | time  5.59s | reward  18358.5 | evac 307 | died 173 | eps 0.077 | lr 0.00001 | loss  3.546
EP 98/100 | time  6.02s | reward  20679.8 | evac 345 | died 135 | eps 0.075 | lr 0.00001 | loss  3.260
EP 99/100 | time  2.28s | reward  20988.1 | evac 367 | died 113 | eps 0.073 | lr 0.00001 | loss  3.273
EP 100/100 | time  1.60s | reward  26148.4 | evac 375 | died 105 | eps 0.071 | lr 0.00001 | loss  3.537
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_3_DuelingDDQNPrioritized.csv
