Using device: cuda
ALGORITHM: QRDQN
EP 1/100 | time  5.09s | reward -18607.1 | evac  82 | died 398 | eps 0.974 | lr 0.00029 | loss  0.037
EP 66/100 | time  5.59s | reward  17746.8 | evac 311 | died 169 | eps 0.149 | lr 0.00003 | loss  1.437
EP 67/100 | time  6.01s | reward  25988.6 | evac 321 | died 159 | eps 0.144 | lr 0.00003 | loss  1.393
EP 68/100 | time  6.41s | reward  27329.7 | evac 341 | died 139 | eps 0.140 | lr 0.00003 | loss  1.400
EP 69/100 | time  4.88s | reward  16707.6 | evac 289 | died 191 | eps 0.136 | lr 0.00003 | loss  1.458
EP 70/100 | time  6.11s | reward  10127.2 | evac 250 | died 230 | eps 0.132 | lr 0.00003 | loss  1.453
EP 71/100 | time  5.27s | reward  13174.9 | evac 262 | died 218 | eps 0.128 | lr 0.00003 | loss  1.419
EP 72/100 | time  5.68s | reward  28784.2 | evac 334 | died 146 | eps 0.124 | lr 0.00003 | loss  1.468
EP 73/100 | time  5.07s | reward  14737.2 | evac 249 | died 231 | eps 0.120 | lr 0.00003 | loss  1.625
EP 74/100 | time  5.33s | reward  28811.3 | evac 340 | died 140 | eps 0.117 | lr 0.00002 | loss  1.517
EP 75/100 | time  5.42s | reward  16474.4 | evac 263 | died 217 | eps 0.113 | lr 0.00002 | loss  1.592
EP 76/100 | time  5.30s | reward  18772.5 | evac 267 | died 213 | eps 0.110 | lr 0.00002 | loss  1.624
EP 77/100 | time  5.56s | reward  16766.1 | evac 280 | died 200 | eps 0.107 | lr 0.00002 | loss  1.610
EP 78/100 | time  5.55s | reward  15280.3 | evac 265 | died 215 | eps 0.103 | lr 0.00002 | loss  1.492
EP 79/100 | time  5.36s | reward  20188.0 | evac 276 | died 204 | eps 0.100 | lr 0.00002 | loss  1.512
EP 80/100 | time  5.64s | reward  25854.4 | evac 307 | died 173 | eps 0.097 | lr 0.00002 | loss  1.610
EP 81/100 | time  6.09s | reward  28118.9 | evac 332 | died 148 | eps 0.094 | lr 0.00002 | loss  1.647
EP 82/100 | time  6.20s | reward  29445.7 | evac 325 | died 155 | eps 0.091 | lr 0.00002 | loss  1.602
EP 83/100 | time  4.96s | reward  15793.4 | evac 254 | died 226 | eps 0.088 | lr 0.00002 | loss  1.699
EP 84/100 | time  4.06s | reward  20410.1 | evac 272 | died 208 | eps 0.086 | lr 0.00002 | loss  1.687
EP 85/100 | time  4.15s | reward  30408.2 | evac 329 | died 151 | eps 0.083 | lr 0.00002 | loss  1.678
EP 86/100 | time  4.49s | reward  33366.0 | evac 336 | died 144 | eps 0.081 | lr 0.00002 | loss  1.667
EP 87/100 | time  3.88s | reward  28751.9 | evac 309 | died 171 | eps 0.078 | lr 0.00002 | loss  1.745
EP 88/100 | time  3.18s | reward  25847.2 | evac 305 | died 175 | eps 0.076 | lr 0.00002 | loss  1.666
EP 89/100 | time  3.35s | reward  24437.5 | evac 285 | died 195 | eps 0.074 | lr 0.00001 | loss  1.822
EP 90/100 | time  3.53s | reward  24952.3 | evac 289 | died 191 | eps 0.072 | lr 0.00001 | loss  1.768
EP 91/100 | time  3.45s | reward  32861.7 | evac 333 | died 147 | eps 0.069 | lr 0.00001 | loss  1.889
EP 92/100 | time  3.36s | reward  32067.3 | evac 331 | died 149 | eps 0.067 | lr 0.00001 | loss  1.951
EP 93/100 | time  3.28s | reward  23974.2 | evac 268 | died 212 | eps 0.065 | lr 0.00001 | loss  1.867
EP 94/100 | time  3.90s | reward  22168.9 | evac 260 | died 220 | eps 0.064 | lr 0.00001 | loss  1.874
EP 95/100 | time  3.58s | reward  25255.4 | evac 277 | died 203 | eps 0.062 | lr 0.00001 | loss  1.834
EP 96/100 | time  3.15s | reward  20723.7 | evac 259 | died 221 | eps 0.060 | lr 0.00001 | loss  1.828
EP 97/100 | time  3.43s | reward  31709.5 | evac 333 | died 147 | eps 0.058 | lr 0.00001 | loss  1.849
EP 98/100 | time  5.45s | reward  26938.3 | evac 287 | died 193 | eps 0.057 | lr 0.00001 | loss  1.824
EP 99/100 | time  6.66s | reward  26296.3 | evac 295 | died 185 | eps 0.055 | lr 0.00001 | loss  1.751
EP 100/100 | time  6.02s | reward  25625.1 | evac 289 | died 191 | eps 0.053 | lr 0.00001 | loss  1.935
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_3_QRDQN.csv
