Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time  3.08s | reward -15602.6 | evac  62 | died 418 | eps 0.974 | lr 0.00029 | loss  0.126
EP 58/100 | time  1.83s | reward  38974.9 | evac 350 | died 130 | eps 0.205 | lr 0.00004 | loss  1.528
EP 59/100 | time  1.78s | reward  37634.4 | evac 373 | died 107 | eps 0.200 | lr 0.00004 | loss  1.475
EP 60/100 | time  1.72s | reward  29552.4 | evac 341 | died 139 | eps 0.194 | lr 0.00004 | loss  1.236
EP 61/100 | time  1.68s | reward  34041.9 | evac 347 | died 133 | eps 0.189 | lr 0.00004 | loss  1.458
EP 62/100 | time  1.72s | reward  32109.4 | evac 360 | died 120 | eps 0.184 | lr 0.00004 | loss  1.313
EP 63/100 | time  1.85s | reward  33976.0 | evac 362 | died 118 | eps 0.179 | lr 0.00004 | loss  1.345
EP 64/100 | time  1.85s | reward  35437.6 | evac 359 | died 121 | eps 0.174 | lr 0.00003 | loss  1.314
EP 65/100 | time  1.94s | reward  34186.8 | evac 344 | died 136 | eps 0.169 | lr 0.00003 | loss  1.183
EP 66/100 | time  1.85s | reward  33860.1 | evac 350 | died 130 | eps 0.165 | lr 0.00003 | loss  1.264
EP 67/100 | time  1.75s | reward  34322.5 | evac 349 | died 131 | eps 0.160 | lr 0.00003 | loss  1.172
EP 68/100 | time  2.61s | reward  35196.4 | evac 352 | died 128 | eps 0.156 | lr 0.00003 | loss  1.239
EP 69/100 | time  2.49s | reward  37186.6 | evac 353 | died 127 | eps 0.151 | lr 0.00003 | loss  1.100
EP 70/100 | time  1.98s | reward  33266.1 | evac 339 | died 141 | eps 0.147 | lr 0.00003 | loss  1.192
EP 71/100 | time  1.78s | reward  32449.1 | evac 347 | died 133 | eps 0.143 | lr 0.00003 | loss  1.131
EP 72/100 | time  1.87s | reward  33907.9 | evac 361 | died 119 | eps 0.139 | lr 0.00003 | loss  1.138
EP 73/100 | time  1.83s | reward  36140.0 | evac 348 | died 132 | eps 0.135 | lr 0.00003 | loss  1.143
EP 74/100 | time  1.69s | reward  34512.2 | evac 350 | died 130 | eps 0.132 | lr 0.00002 | loss  1.120
EP 75/100 | time  1.75s | reward  33103.2 | evac 337 | died 143 | eps 0.128 | lr 0.00002 | loss  1.159
EP 76/100 | time  1.76s | reward  35179.1 | evac 340 | died 140 | eps 0.125 | lr 0.00002 | loss  1.152
EP 77/100 | time  1.83s | reward  38410.1 | evac 351 | died 129 | eps 0.121 | lr 0.00002 | loss  1.179
EP 78/100 | time  1.78s | reward  33536.3 | evac 338 | died 142 | eps 0.118 | lr 0.00002 | loss  1.053
EP 79/100 | time  1.77s | reward  34484.5 | evac 344 | died 136 | eps 0.115 | lr 0.00002 | loss  1.103
EP 80/100 | time  2.58s | reward  35803.3 | evac 330 | died 150 | eps 0.112 | lr 0.00002 | loss  0.946
EP 81/100 | time  1.89s | reward  33565.0 | evac 346 | died 134 | eps 0.109 | lr 0.00002 | loss  1.190
EP 82/100 | time  1.94s | reward  31483.3 | evac 325 | died 155 | eps 0.106 | lr 0.00002 | loss  1.183
EP 83/100 | time  1.78s | reward  29792.0 | evac 327 | died 153 | eps 0.103 | lr 0.00002 | loss  1.015
EP 84/100 | time  1.70s | reward  31594.4 | evac 334 | died 146 | eps 0.100 | lr 0.00002 | loss  1.138
EP 85/100 | time  2.08s | reward  41704.1 | evac 331 | died 149 | eps 0.097 | lr 0.00002 | loss  1.077
EP 86/100 | time  1.72s | reward  33243.4 | evac 331 | died 149 | eps 0.095 | lr 0.00002 | loss  1.129
EP 87/100 | time  1.76s | reward  38447.8 | evac 344 | died 136 | eps 0.092 | lr 0.00002 | loss  1.244
EP 88/100 | time  1.66s | reward  34289.8 | evac 358 | died 122 | eps 0.090 | lr 0.00002 | loss  1.210
EP 89/100 | time  1.66s | reward  35534.8 | evac 344 | died 136 | eps 0.087 | lr 0.00001 | loss  1.177
EP 90/100 | time  1.72s | reward  40452.8 | evac 350 | died 130 | eps 0.085 | lr 0.00001 | loss  1.250
EP 91/100 | time  1.74s | reward  38875.5 | evac 350 | died 130 | eps 0.083 | lr 0.00001 | loss  1.233
EP 92/100 | time  1.78s | reward  38283.0 | evac 338 | died 142 | eps 0.080 | lr 0.00001 | loss  1.331
EP 93/100 | time  1.81s | reward  42227.4 | evac 344 | died 136 | eps 0.078 | lr 0.00001 | loss  1.122
EP 94/100 | time  1.81s | reward  43221.9 | evac 353 | died 127 | eps 0.076 | lr 0.00001 | loss  1.252
EP 95/100 | time  1.72s | reward  37027.4 | evac 333 | died 147 | eps 0.074 | lr 0.00001 | loss  1.295
EP 96/100 | time  1.90s | reward  41606.5 | evac 336 | died 144 | eps 0.072 | lr 0.00001 | loss  1.421
EP 97/100 | time  1.80s | reward  41992.9 | evac 352 | died 128 | eps 0.070 | lr 0.00001 | loss  1.290
EP 98/100 | time  1.79s | reward  40842.3 | evac 348 | died 132 | eps 0.068 | lr 0.00001 | loss  1.216
EP 99/100 | time  1.78s | reward  38034.4 | evac 357 | died 123 | eps 0.066 | lr 0.00001 | loss  1.434
EP 100/100 | time  1.73s | reward  40936.6 | evac 358 | died 122 | eps 0.064 | lr 0.00001 | loss  1.260
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_7_DuelingDDQNPrioritized.csv
