Using device: cuda
ALGORITHM: QRDQN
EP 1/100 | time 4799.27s | reward -14934.4 | evac  84 | died 396 | eps 0.975 | lr 0.00029 | loss  0.053
EP 72/100 | time  3.51s | reward  39298.6 | evac 349 | died 131 | eps 0.132 | lr 0.00003 | loss  2.551
EP 73/100 | time  3.15s | reward  38309.1 | evac 353 | died 127 | eps 0.129 | lr 0.00003 | loss  2.513
EP 74/100 | time  3.30s | reward  41790.0 | evac 355 | died 125 | eps 0.125 | lr 0.00002 | loss  2.576
EP 75/100 | time  3.20s | reward  37120.5 | evac 340 | died 140 | eps 0.122 | lr 0.00002 | loss  2.517
EP 76/100 | time  3.29s | reward  38749.9 | evac 345 | died 135 | eps 0.118 | lr 0.00002 | loss  2.579
EP 77/100 | time  4.16s | reward  42781.8 | evac 360 | died 120 | eps 0.115 | lr 0.00002 | loss  2.460
EP 78/100 | time  3.94s | reward  44416.0 | evac 366 | died 114 | eps 0.112 | lr 0.00002 | loss  2.519
EP 79/100 | time  4.32s | reward  45814.3 | evac 370 | died 110 | eps 0.108 | lr 0.00002 | loss  2.533
EP 80/100 | time  4.42s | reward  42204.5 | evac 385 | died  95 | eps 0.106 | lr 0.00002 | loss  2.568
EP 81/100 | time  4.50s | reward  44626.4 | evac 370 | died 110 | eps 0.103 | lr 0.00002 | loss  2.548
EP 82/100 | time  4.14s | reward  43572.5 | evac 357 | died 123 | eps 0.100 | lr 0.00002 | loss  2.502
EP 83/100 | time  4.10s | reward  42030.8 | evac 366 | died 114 | eps 0.097 | lr 0.00002 | loss  2.516
EP 84/100 | time  4.00s | reward  42839.6 | evac 361 | died 119 | eps 0.094 | lr 0.00002 | loss  2.577
EP 85/100 | time  3.55s | reward  44617.3 | evac 363 | died 117 | eps 0.091 | lr 0.00002 | loss  2.622
EP 86/100 | time  3.10s | reward  40283.4 | evac 354 | died 126 | eps 0.089 | lr 0.00002 | loss  2.601
EP 87/100 | time  3.50s | reward  45375.5 | evac 357 | died 123 | eps 0.086 | lr 0.00002 | loss  2.527
EP 88/100 | time  4.18s | reward  37540.7 | evac 354 | died 126 | eps 0.084 | lr 0.00002 | loss  2.442
EP 89/100 | time  4.55s | reward  44491.6 | evac 366 | died 114 | eps 0.082 | lr 0.00001 | loss  2.436
EP 90/100 | time  4.21s | reward  43948.6 | evac 366 | died 114 | eps 0.080 | lr 0.00001 | loss  2.443
EP 91/100 | time  3.12s | reward  39631.8 | evac 361 | died 119 | eps 0.078 | lr 0.00001 | loss  2.467
EP 92/100 | time  3.84s | reward  38929.4 | evac 343 | died 137 | eps 0.075 | lr 0.00001 | loss  2.494
EP 93/100 | time  3.43s | reward  43013.8 | evac 349 | died 131 | eps 0.073 | lr 0.00001 | loss  2.434
EP 94/100 | time  3.32s | reward  39171.6 | evac 342 | died 138 | eps 0.071 | lr 0.00001 | loss  2.485
EP 95/100 | time  3.61s | reward  41917.0 | evac 349 | died 131 | eps 0.069 | lr 0.00001 | loss  2.426
EP 96/100 | time  3.80s | reward  40895.0 | evac 352 | died 128 | eps 0.067 | lr 0.00001 | loss  2.423
EP 97/100 | time  3.68s | reward  42694.0 | evac 352 | died 128 | eps 0.065 | lr 0.00001 | loss  2.418
EP 98/100 | time  3.28s | reward  43649.1 | evac 366 | died 114 | eps 0.064 | lr 0.00001 | loss  2.462
EP 99/100 | time  3.57s | reward  44173.7 | evac 362 | died 118 | eps 0.062 | lr 0.00001 | loss  2.482
EP 100/100 | time  3.72s | reward  52688.6 | evac 390 | died  90 | eps 0.060 | lr 0.00001 | loss  2.477
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_5_QRDQN.csv
