Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time 60.66s | reward -17199.9 | evac  74 | died 406 | eps 0.973 | lr 0.00029 | loss  0.189
EP 17/100 | time 60.79s | reward   8637.8 | evac 268 | died 212 | eps 0.627 | lr 0.00017 | loss  3.031
EP 18/100 | time 68.82s | reward   7321.5 | evac 219 | died 261 | eps 0.609 | lr 0.00016 | loss  3.214
EP 19/100 | time 69.09s | reward  10343.7 | evac 233 | died 247 | eps 0.592 | lr 0.00016 | loss  3.130
EP 20/100 | time 65.24s | reward  13473.6 | evac 253 | died 227 | eps 0.576 | lr 0.00015 | loss  3.116
EP 21/100 | time 65.42s | reward  14119.2 | evac 254 | died 226 | eps 0.561 | lr 0.00015 | loss  3.435
EP 22/100 | time 63.40s | reward  11464.7 | evac 235 | died 245 | eps 0.547 | lr 0.00014 | loss  3.757
EP 23/100 | time 71.31s | reward  14387.3 | evac 243 | died 237 | eps 0.530 | lr 0.00014 | loss  4.034
EP 24/100 | time 68.12s | reward  15087.1 | evac 248 | died 232 | eps 0.515 | lr 0.00013 | loss  4.189
EP 25/100 | time 60.95s | reward  14741.4 | evac 287 | died 193 | eps 0.503 | lr 0.00013 | loss  3.800
EP 26/100 | time 63.25s | reward  14033.5 | evac 251 | died 229 | eps 0.490 | lr 0.00012 | loss  4.187
EP 27/100 | time 64.52s | reward  15056.1 | evac 268 | died 212 | eps 0.477 | lr 0.00012 | loss  4.077
EP 28/100 | time 65.23s | reward  13303.5 | evac 256 | died 224 | eps 0.464 | lr 0.00012 | loss  4.263
EP 29/100 | time 70.91s | reward  17699.1 | evac 296 | died 184 | eps 0.450 | lr 0.00011 | loss  4.064
EP 30/100 | time 67.17s | reward  15145.7 | evac 254 | died 226 | eps 0.438 | lr 0.00011 | loss  4.194
EP 31/100 | time 65.42s | reward  18059.1 | evac 302 | died 178 | eps 0.426 | lr 0.00010 | loss  4.335
EP 32/100 | time 63.34s | reward  13176.6 | evac 292 | died 188 | eps 0.415 | lr 0.00010 | loss  4.313
EP 33/100 | time 65.85s | reward  14026.7 | evac 262 | died 218 | eps 0.404 | lr 0.00010 | loss  4.220
EP 34/100 | time 67.53s | reward  11540.3 | evac 260 | died 220 | eps 0.392 | lr 0.00009 | loss  4.552
EP 35/100 | time 62.56s | reward  14949.4 | evac 263 | died 217 | eps 0.383 | lr 0.00009 | loss  4.336
EP 36/100 | time 68.19s | reward  15984.1 | evac 262 | died 218 | eps 0.372 | lr 0.00009 | loss  4.237
EP 37/100 | time 63.19s | reward  14756.0 | evac 283 | died 197 | eps 0.362 | lr 0.00009 | loss  4.478
EP 38/100 | time 71.12s | reward  17172.0 | evac 267 | died 213 | eps 0.351 | lr 0.00008 | loss  4.585
EP 39/100 | time 67.54s | reward  18313.3 | evac 263 | died 217 | eps 0.342 | lr 0.00008 | loss  4.063
EP 40/100 | time 64.27s | reward  13752.3 | evac 266 | died 214 | eps 0.333 | lr 0.00008 | loss  4.002
EP 41/100 | time 66.40s | reward  21569.8 | evac 277 | died 203 | eps 0.323 | lr 0.00007 | loss  3.748
EP 42/100 | time 64.12s | reward  15750.7 | evac 272 | died 208 | eps 0.315 | lr 0.00007 | loss  3.949
EP 43/100 | time 67.62s | reward  14769.1 | evac 275 | died 205 | eps 0.306 | lr 0.00007 | loss  3.859
EP 44/100 | time 62.42s | reward  16181.8 | evac 328 | died 152 | eps 0.298 | lr 0.00007 | loss  3.745
EP 45/100 | time 68.71s | reward  13515.5 | evac 313 | died 167 | eps 0.290 | lr 0.00006 | loss  3.589
EP 46/100 | time 64.60s | reward  10112.7 | evac 260 | died 220 | eps 0.282 | lr 0.00006 | loss  3.726
EP 47/100 | time 70.15s | reward  15475.8 | evac 296 | died 184 | eps 0.274 | lr 0.00006 | loss  3.266
EP 48/100 | time 67.86s | reward  15877.7 | evac 283 | died 197 | eps 0.266 | lr 0.00006 | loss  3.063
EP 49/100 | time 63.37s | reward  12892.7 | evac 285 | died 195 | eps 0.259 | lr 0.00006 | loss  3.145
EP 50/100 | time 65.18s | reward  15637.3 | evac 315 | died 165 | eps 0.252 | lr 0.00005 | loss  3.061
EP 51/100 | time 67.09s | reward  16628.1 | evac 286 | died 194 | eps 0.245 | lr 0.00005 | loss  3.034
EP 52/100 | time 65.82s | reward  15328.5 | evac 290 | died 190 | eps 0.239 | lr 0.00005 | loss  3.020
EP 53/100 | time 65.50s | reward  12450.3 | evac 283 | died 197 | eps 0.232 | lr 0.00005 | loss  3.124
EP 54/100 | time 66.18s | reward  18468.5 | evac 288 | died 192 | eps 0.226 | lr 0.00005 | loss  3.057
EP 55/100 | time 67.02s | reward  21697.4 | evac 298 | died 182 | eps 0.220 | lr 0.00005 | loss  2.666
EP 56/100 | time 68.89s | reward  15373.4 | evac 283 | died 197 | eps 0.213 | lr 0.00004 | loss  2.753
EP 57/100 | time 67.48s | reward  17153.7 | evac 288 | died 192 | eps 0.207 | lr 0.00004 | loss  2.456
EP 58/100 | time 65.25s | reward  18067.4 | evac 283 | died 197 | eps 0.202 | lr 0.00004 | loss  2.472
EP 59/100 | time 69.46s | reward  19549.9 | evac 296 | died 184 | eps 0.196 | lr 0.00004 | loss  2.402
EP 60/100 | time 66.90s | reward  16299.7 | evac 284 | died 196 | eps 0.191 | lr 0.00004 | loss  2.226
EP 61/100 | time 67.83s | reward  14948.1 | evac 276 | died 204 | eps 0.185 | lr 0.00004 | loss  2.058
EP 62/100 | time 69.26s | reward  15415.4 | evac 277 | died 203 | eps 0.180 | lr 0.00004 | loss  2.054
EP 63/100 | time 66.19s | reward  14243.1 | evac 280 | died 200 | eps 0.175 | lr 0.00004 | loss  1.885
EP 64/100 | time 66.92s | reward  16315.9 | evac 265 | died 215 | eps 0.170 | lr 0.00003 | loss  2.112
EP 65/100 | time 69.16s | reward  20913.6 | evac 291 | died 189 | eps 0.166 | lr 0.00003 | loss  1.942
EP 66/100 | time 68.95s | reward  15718.1 | evac 294 | died 186 | eps 0.161 | lr 0.00003 | loss  1.748
EP 67/100 | time 69.01s | reward  17123.9 | evac 288 | died 192 | eps 0.156 | lr 0.00003 | loss  1.774
EP 68/100 | time 67.80s | reward  14871.2 | evac 287 | died 193 | eps 0.152 | lr 0.00003 | loss  1.698
EP 69/100 | time 69.73s | reward  17324.4 | evac 290 | died 190 | eps 0.148 | lr 0.00003 | loss  1.907
EP 70/100 | time 70.64s | reward  14119.2 | evac 282 | died 198 | eps 0.143 | lr 0.00003 | loss  1.750
EP 71/100 | time 67.64s | reward  14670.5 | evac 271 | died 209 | eps 0.139 | lr 0.00003 | loss  1.654
EP 72/100 | time 72.27s | reward   6298.1 | evac 269 | died 211 | eps 0.135 | lr 0.00003 | loss  1.637
EP 73/100 | time  5.71s | reward  14677.8 | evac 287 | died 193 | eps 0.132 | lr 0.00003 | loss  1.532
EP 74/100 | time  5.75s | reward  13984.9 | evac 283 | died 197 | eps 0.128 | lr 0.00002 | loss  1.715
EP 75/100 | time  5.47s | reward  13774.1 | evac 281 | died 199 | eps 0.125 | lr 0.00002 | loss  1.811
EP 76/100 | time  5.44s | reward  13411.4 | evac 287 | died 193 | eps 0.121 | lr 0.00002 | loss  1.583
EP 77/100 | time  5.48s | reward  11705.3 | evac 261 | died 219 | eps 0.118 | lr 0.00002 | loss  1.856
EP 78/100 | time  5.60s | reward   9755.5 | evac 268 | died 212 | eps 0.115 | lr 0.00002 | loss  1.798
EP 79/100 | time  5.26s | reward  13641.3 | evac 268 | died 212 | eps 0.112 | lr 0.00002 | loss  1.722
EP 80/100 | time  5.54s | reward  15384.4 | evac 288 | died 192 | eps 0.109 | lr 0.00002 | loss  1.586
EP 81/100 | time  5.80s | reward  14367.5 | evac 263 | died 217 | eps 0.106 | lr 0.00002 | loss  1.802
EP 82/100 | time  5.47s | reward  13501.0 | evac 248 | died 232 | eps 0.103 | lr 0.00002 | loss  1.576
EP 83/100 | time  5.86s | reward  13974.2 | evac 251 | died 229 | eps 0.100 | lr 0.00002 | loss  1.767
EP 84/100 | time  5.98s | reward  14204.0 | evac 264 | died 216 | eps 0.097 | lr 0.00002 | loss  1.435
EP 85/100 | time  5.82s | reward  12402.5 | evac 283 | died 197 | eps 0.094 | lr 0.00002 | loss  1.677
EP 86/100 | time  5.04s | reward  13559.7 | evac 286 | died 194 | eps 0.092 | lr 0.00002 | loss  1.643
EP 87/100 | time  3.99s | reward   9574.1 | evac 272 | died 208 | eps 0.090 | lr 0.00002 | loss  1.633
EP 88/100 | time  4.30s | reward  13540.1 | evac 274 | died 206 | eps 0.087 | lr 0.00002 | loss  1.541
EP 89/100 | time  4.29s | reward  12165.4 | evac 255 | died 225 | eps 0.085 | lr 0.00001 | loss  1.609
EP 90/100 | time  4.24s | reward  17108.3 | evac 259 | died 221 | eps 0.082 | lr 0.00001 | loss  1.595
EP 91/100 | time  4.28s | reward  14562.9 | evac 260 | died 220 | eps 0.080 | lr 0.00001 | loss  1.536
EP 92/100 | time  4.30s | reward  15752.2 | evac 274 | died 206 | eps 0.078 | lr 0.00001 | loss  1.581
EP 93/100 | time  4.02s | reward  13083.5 | evac 242 | died 238 | eps 0.076 | lr 0.00001 | loss  1.505
EP 94/100 | time  4.43s | reward  11568.4 | evac 255 | died 225 | eps 0.073 | lr 0.00001 | loss  1.640
EP 95/100 | time  4.56s | reward  14450.4 | evac 253 | died 227 | eps 0.071 | lr 0.00001 | loss  1.425
EP 96/100 | time  4.52s | reward  11379.4 | evac 259 | died 221 | eps 0.069 | lr 0.00001 | loss  1.526
EP 97/100 | time  4.19s | reward  14001.2 | evac 268 | died 212 | eps 0.067 | lr 0.00001 | loss  1.346
EP 98/100 | time  4.09s | reward  11982.9 | evac 255 | died 225 | eps 0.065 | lr 0.00001 | loss  1.369
EP 99/100 | time  4.69s | reward  16279.5 | evac 270 | died 210 | eps 0.063 | lr 0.00001 | loss  1.318
EP 100/100 | time  4.73s | reward  15463.6 | evac 249 | died 231 | eps 0.062 | lr 0.00001 | loss  1.336
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_5_DuelingDDQNPrioritized.csv
