Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  2.65s | reward -17459.7 | evac 124 | died 356 | eps  nan | lr 0.00029 | loss  0.857
EP 47/100 | time  2.00s | reward  43469.0 | evac 353 | died 127 | eps  nan | lr 0.00006 | loss  5.840
EP 48/100 | time  2.18s | reward  50803.8 | evac 391 | died  89 | eps  nan | lr 0.00006 | loss  5.473
EP 49/100 | time  1.97s | reward  41266.5 | evac 359 | died 121 | eps  nan | lr 0.00006 | loss  5.190
EP 50/100 | time  2.08s | reward  44142.0 | evac 363 | died 117 | eps  nan | lr 0.00005 | loss  5.210
EP 51/100 | time  1.90s | reward  41408.1 | evac 373 | died 107 | eps  nan | lr 0.00005 | loss  5.259
EP 52/100 | time  2.16s | reward  49608.5 | evac 390 | died  90 | eps  nan | lr 0.00005 | loss  4.932
EP 53/100 | time  2.16s | reward  43981.6 | evac 350 | died 130 | eps  nan | lr 0.00005 | loss  5.341
EP 54/100 | time  1.93s | reward  43161.1 | evac 361 | died 119 | eps  nan | lr 0.00005 | loss  5.344
EP 55/100 | time  1.96s | reward  43446.2 | evac 370 | died 110 | eps  nan | lr 0.00005 | loss  5.329
EP 56/100 | time  2.02s | reward  43153.0 | evac 360 | died 120 | eps  nan | lr 0.00004 | loss  5.108
EP 57/100 | time  2.06s | reward  42419.6 | evac 364 | died 116 | eps  nan | lr 0.00004 | loss  5.173
EP 58/100 | time  1.98s | reward  40310.1 | evac 357 | died 123 | eps  nan | lr 0.00004 | loss  5.113
EP 59/100 | time  1.95s | reward  40659.5 | evac 364 | died 116 | eps  nan | lr 0.00004 | loss  5.107
EP 60/100 | time  2.05s | reward  40770.7 | evac 351 | died 129 | eps  nan | lr 0.00004 | loss  4.993
EP 61/100 | time  2.13s | reward  42025.1 | evac 354 | died 126 | eps  nan | lr 0.00004 | loss  4.890
EP 62/100 | time  2.08s | reward  44332.8 | evac 354 | died 126 | eps  nan | lr 0.00004 | loss  4.831
EP 63/100 | time  2.10s | reward  41816.9 | evac 347 | died 133 | eps  nan | lr 0.00004 | loss  4.752
EP 64/100 | time  2.01s | reward  42824.7 | evac 349 | died 131 | eps  nan | lr 0.00003 | loss  4.846
EP 65/100 | time  1.89s | reward  38672.8 | evac 354 | died 126 | eps  nan | lr 0.00003 | loss  4.747
EP 66/100 | time  1.96s | reward  40492.2 | evac 349 | died 131 | eps  nan | lr 0.00003 | loss  4.563
EP 67/100 | time  2.09s | reward  35979.2 | evac 333 | died 147 | eps  nan | lr 0.00003 | loss  4.491
EP 68/100 | time  2.35s | reward  45367.1 | evac 375 | died 105 | eps  nan | lr 0.00003 | loss  4.346
EP 69/100 | time  2.04s | reward  39128.7 | evac 343 | died 137 | eps  nan | lr 0.00003 | loss  4.249
EP 70/100 | time  2.05s | reward  41060.5 | evac 353 | died 127 | eps  nan | lr 0.00003 | loss  4.201
EP 71/100 | time  2.25s | reward  41665.0 | evac 349 | died 131 | eps  nan | lr 0.00003 | loss  4.349
EP 72/100 | time  1.98s | reward  39403.6 | evac 351 | died 129 | eps  nan | lr 0.00003 | loss  4.335
EP 73/100 | time  1.99s | reward  37014.9 | evac 342 | died 138 | eps  nan | lr 0.00003 | loss  4.196
EP 74/100 | time  2.06s | reward  36462.4 | evac 348 | died 132 | eps  nan | lr 0.00002 | loss  4.193
EP 75/100 | time  1.95s | reward  34329.0 | evac 331 | died 149 | eps  nan | lr 0.00002 | loss  4.036
EP 76/100 | time  1.97s | reward  35619.8 | evac 339 | died 141 | eps  nan | lr 0.00002 | loss  3.942
EP 77/100 | time  1.91s | reward  37042.3 | evac 345 | died 135 | eps  nan | lr 0.00002 | loss  4.217
EP 78/100 | time  2.11s | reward  43329.8 | evac 361 | died 119 | eps  nan | lr 0.00002 | loss  4.109
EP 79/100 | time  2.05s | reward  41411.4 | evac 364 | died 116 | eps  nan | lr 0.00002 | loss  4.136
EP 80/100 | time  2.07s | reward  43080.0 | evac 363 | died 117 | eps  nan | lr 0.00002 | loss  4.084
EP 81/100 | time  1.97s | reward  36677.5 | evac 336 | died 144 | eps  nan | lr 0.00002 | loss  4.103
EP 82/100 | time  2.02s | reward  37860.0 | evac 353 | died 127 | eps  nan | lr 0.00002 | loss  4.352
EP 83/100 | time  2.00s | reward  34419.7 | evac 308 | died 172 | eps  nan | lr 0.00002 | loss  4.074
EP 84/100 | time  2.24s | reward  41842.1 | evac 335 | died 145 | eps  nan | lr 0.00002 | loss  4.240
EP 85/100 | time  1.92s | reward  32234.7 | evac 327 | died 153 | eps  nan | lr 0.00002 | loss  4.399
EP 86/100 | time  2.04s | reward  35349.3 | evac 320 | died 160 | eps  nan | lr 0.00002 | loss  4.183
EP 87/100 | time  2.14s | reward  38100.9 | evac 333 | died 147 | eps  nan | lr 0.00002 | loss  4.188
EP 88/100 | time  2.02s | reward  36314.0 | evac 321 | died 159 | eps  nan | lr 0.00002 | loss  4.096
EP 89/100 | time  2.00s | reward  35502.1 | evac 329 | died 151 | eps  nan | lr 0.00001 | loss  4.120
EP 90/100 | time  2.12s | reward  38862.7 | evac 338 | died 142 | eps  nan | lr 0.00001 | loss  4.144
EP 91/100 | time  2.15s | reward  42735.2 | evac 340 | died 140 | eps  nan | lr 0.00001 | loss  4.197
EP 92/100 | time  1.91s | reward  31114.8 | evac 309 | died 171 | eps  nan | lr 0.00001 | loss  3.930
EP 93/100 | time  2.12s | reward  37496.8 | evac 328 | died 152 | eps  nan | lr 0.00001 | loss  4.091
EP 94/100 | time  2.00s | reward  37275.0 | evac 329 | died 151 | eps  nan | lr 0.00001 | loss  4.028
EP 95/100 | time  2.03s | reward  34277.5 | evac 322 | died 158 | eps  nan | lr 0.00001 | loss  3.914
EP 96/100 | time  2.00s | reward  33786.4 | evac 320 | died 160 | eps  nan | lr 0.00001 | loss  3.908
EP 97/100 | time  2.09s | reward  34608.6 | evac 314 | died 166 | eps  nan | lr 0.00001 | loss  3.846
EP 98/100 | time  2.02s | reward  35126.5 | evac 311 | died 169 | eps  nan | lr 0.00001 | loss  3.885
EP 99/100 | time  2.23s | reward  37327.6 | evac 320 | died 160 | eps  nan | lr 0.00001 | loss  3.993
EP 100/100 | time  2.06s | reward  30295.8 | evac 284 | died 196 | eps  nan | lr 0.00001 | loss  3.826
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_7_NoisyDuelingDDQN.csv
