Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  4.57s | reward -18406.1 | evac  31 | died 449 | eps  nan | lr 0.00029 | loss  0.550
EP 24/100 | time  4.82s | reward  -2091.7 | evac 287 | died 193 | eps  nan | lr 0.00013 | loss  3.723
EP 25/100 | time  4.53s | reward  -3200.1 | evac 287 | died 193 | eps  nan | lr 0.00013 | loss  4.034
EP 26/100 | time  4.24s | reward  -3693.9 | evac 297 | died 183 | eps  nan | lr 0.00012 | loss  4.851
EP 27/100 | time  6.77s | reward  -2107.3 | evac 285 | died 195 | eps  nan | lr 0.00012 | loss  5.117
EP 28/100 | time  4.27s | reward   3659.3 | evac 301 | died 179 | eps  nan | lr 0.00012 | loss  5.254
EP 29/100 | time  4.60s | reward  -2477.9 | evac 293 | died 187 | eps  nan | lr 0.00011 | loss  5.775
EP 30/100 | time  4.38s | reward   6401.8 | evac 322 | died 158 | eps  nan | lr 0.00011 | loss  6.277
EP 31/100 | time  4.78s | reward   6657.1 | evac 318 | died 162 | eps  nan | lr 0.00010 | loss  6.309
EP 32/100 | time  5.31s | reward   2548.2 | evac 314 | died 166 | eps  nan | lr 0.00010 | loss  6.310
EP 33/100 | time  3.99s | reward   3740.1 | evac 301 | died 179 | eps  nan | lr 0.00010 | loss  7.530
EP 34/100 | time  4.94s | reward   4008.0 | evac 318 | died 162 | eps  nan | lr 0.00009 | loss  7.922
EP 35/100 | time  6.91s | reward   4136.7 | evac 306 | died 174 | eps  nan | lr 0.00009 | loss  7.410
EP 36/100 | time  5.74s | reward   5026.1 | evac 302 | died 178 | eps  nan | lr 0.00009 | loss  8.391
EP 37/100 | time  5.11s | reward   3597.2 | evac 305 | died 175 | eps  nan | lr 0.00009 | loss  8.995
EP 38/100 | time  4.61s | reward   5286.0 | evac 321 | died 159 | eps  nan | lr 0.00008 | loss 10.424
EP 39/100 | time  4.50s | reward   8513.3 | evac 332 | died 148 | eps  nan | lr 0.00008 | loss 10.575
EP 40/100 | time  6.05s | reward   7425.5 | evac 326 | died 154 | eps  nan | lr 0.00008 | loss 10.432
EP 41/100 | time  4.44s | reward   5631.4 | evac 318 | died 162 | eps  nan | lr 0.00007 | loss  9.694
EP 42/100 | time  4.93s | reward   8152.1 | evac 317 | died 163 | eps  nan | lr 0.00007 | loss 11.105
EP 43/100 | time  4.58s | reward   3223.3 | evac 309 | died 171 | eps  nan | lr 0.00007 | loss 10.889
EP 44/100 | time  5.14s | reward  13860.4 | evac 352 | died 128 | eps  nan | lr 0.00007 | loss 11.081
EP 45/100 | time  5.15s | reward   9585.6 | evac 323 | died 157 | eps  nan | lr 0.00006 | loss 11.459
EP 46/100 | time  4.25s | reward  10444.8 | evac 328 | died 152 | eps  nan | lr 0.00006 | loss 12.542
EP 47/100 | time  4.56s | reward   6560.9 | evac 292 | died 188 | eps  nan | lr 0.00006 | loss 12.665
EP 48/100 | time  5.38s | reward   7903.4 | evac 311 | died 169 | eps  nan | lr 0.00006 | loss 12.488
EP 49/100 | time  5.18s | reward   6712.4 | evac 310 | died 170 | eps  nan | lr 0.00006 | loss 13.606
EP 50/100 | time  4.61s | reward   9623.6 | evac 321 | died 159 | eps  nan | lr 0.00005 | loss 12.673
EP 51/100 | time  5.54s | reward   9390.2 | evac 315 | died 165 | eps  nan | lr 0.00005 | loss 13.516
EP 52/100 | time  4.32s | reward  14690.9 | evac 333 | died 147 | eps  nan | lr 0.00005 | loss 13.736
EP 53/100 | time  5.13s | reward   8243.3 | evac 320 | died 160 | eps  nan | lr 0.00005 | loss 13.767
EP 54/100 | time  4.90s | reward  12288.6 | evac 311 | died 169 | eps  nan | lr 0.00005 | loss 12.902
EP 55/100 | time  5.05s | reward  10468.8 | evac 304 | died 176 | eps  nan | lr 0.00005 | loss 14.169
EP 56/100 | time  5.37s | reward  19742.8 | evac 350 | died 130 | eps  nan | lr 0.00004 | loss 14.562
EP 57/100 | time  4.53s | reward  20790.4 | evac 327 | died 153 | eps  nan | lr 0.00004 | loss 14.782
EP 58/100 | time  4.57s | reward  17472.5 | evac 341 | died 139 | eps  nan | lr 0.00004 | loss 14.323
EP 59/100 | time  5.14s | reward  17049.8 | evac 342 | died 138 | eps  nan | lr 0.00004 | loss 14.161
EP 60/100 | time  4.93s | reward  15029.2 | evac 357 | died 123 | eps  nan | lr 0.00004 | loss 14.781
EP 61/100 | time  5.82s | reward  14748.1 | evac 346 | died 134 | eps  nan | lr 0.00004 | loss 14.464
EP 62/100 | time  4.88s | reward  12228.2 | evac 342 | died 138 | eps  nan | lr 0.00004 | loss 13.958
EP 63/100 | time  4.46s | reward  15454.2 | evac 312 | died 168 | eps  nan | lr 0.00004 | loss 14.736
EP 64/100 | time  4.18s | reward  19536.9 | evac 374 | died 106 | eps  nan | lr 0.00003 | loss 14.643
EP 65/100 | time  5.13s | reward  15108.8 | evac 321 | died 159 | eps  nan | lr 0.00003 | loss 14.436
EP 66/100 | time  4.41s | reward  19807.8 | evac 331 | died 149 | eps  nan | lr 0.00003 | loss 15.184
EP 67/100 | time  5.32s | reward  20019.2 | evac 332 | died 148 | eps  nan | lr 0.00003 | loss 14.880
EP 68/100 | time  5.79s | reward  29159.8 | evac 353 | died 127 | eps  nan | lr 0.00003 | loss 14.685
EP 69/100 | time  5.95s | reward  22653.4 | evac 337 | died 143 | eps  nan | lr 0.00003 | loss 14.878
EP 70/100 | time  5.13s | reward  20360.3 | evac 347 | died 133 | eps  nan | lr 0.00003 | loss 14.435
EP 71/100 | time  5.40s | reward  23172.5 | evac 329 | died 151 | eps  nan | lr 0.00003 | loss 14.338
EP 72/100 | time  5.20s | reward  18900.4 | evac 332 | died 148 | eps  nan | lr 0.00003 | loss 14.082
EP 73/100 | time  4.19s | reward  18960.6 | evac 315 | died 165 | eps  nan | lr 0.00003 | loss 14.003
EP 74/100 | time  5.61s | reward  15124.5 | evac 309 | died 171 | eps  nan | lr 0.00002 | loss 15.889
EP 75/100 | time  4.17s | reward  14660.6 | evac 307 | died 173 | eps  nan | lr 0.00002 | loss 14.485
EP 76/100 | time  5.05s | reward  17275.9 | evac 329 | died 151 | eps  nan | lr 0.00002 | loss 15.414
EP 77/100 | time  5.18s | reward  16169.6 | evac 326 | died 154 | eps  nan | lr 0.00002 | loss 13.423
EP 78/100 | time  4.20s | reward  15370.6 | evac 317 | died 163 | eps  nan | lr 0.00002 | loss 15.151
EP 79/100 | time  4.74s | reward  14640.7 | evac 329 | died 151 | eps  nan | lr 0.00002 | loss 15.441
EP 80/100 | time  4.16s | reward  19357.9 | evac 329 | died 151 | eps  nan | lr 0.00002 | loss 14.612
EP 81/100 | time  4.58s | reward  13282.0 | evac 306 | died 174 | eps  nan | lr 0.00002 | loss 15.148
EP 82/100 | time  4.90s | reward  20501.4 | evac 354 | died 126 | eps  nan | lr 0.00002 | loss 15.241
EP 83/100 | time  3.88s | reward  15995.6 | evac 315 | died 165 | eps  nan | lr 0.00002 | loss 15.603
EP 84/100 | time  4.29s | reward  17097.3 | evac 322 | died 158 | eps  nan | lr 0.00002 | loss 16.245
EP 85/100 | time  4.78s | reward  15297.0 | evac 336 | died 144 | eps  nan | lr 0.00002 | loss 15.998
EP 86/100 | time  5.21s | reward  14269.3 | evac 326 | died 154 | eps  nan | lr 0.00002 | loss 15.363
EP 87/100 | time  4.53s | reward  12770.1 | evac 311 | died 169 | eps  nan | lr 0.00002 | loss 15.461
EP 88/100 | time  4.32s | reward  15522.3 | evac 327 | died 153 | eps  nan | lr 0.00002 | loss 15.750
EP 89/100 | time  4.18s | reward  13405.4 | evac 310 | died 170 | eps  nan | lr 0.00001 | loss 14.911
EP 90/100 | time  4.42s | reward  11806.6 | evac 305 | died 175 | eps  nan | lr 0.00001 | loss 15.741
EP 91/100 | time  5.12s | reward  12903.4 | evac 313 | died 167 | eps  nan | lr 0.00001 | loss 14.985
EP 92/100 | time  4.87s | reward  18475.0 | evac 328 | died 152 | eps  nan | lr 0.00001 | loss 15.082
EP 93/100 | time  4.50s | reward  14577.9 | evac 306 | died 174 | eps  nan | lr 0.00001 | loss 15.327
EP 94/100 | time  4.50s | reward  14096.4 | evac 310 | died 170 | eps  nan | lr 0.00001 | loss 15.021
EP 95/100 | time  4.33s | reward  13334.4 | evac 323 | died 157 | eps  nan | lr 0.00001 | loss 15.802
EP 96/100 | time  3.60s | reward  15492.0 | evac 324 | died 156 | eps  nan | lr 0.00001 | loss 15.248
EP 97/100 | time  3.53s | reward  14954.9 | evac 326 | died 154 | eps  nan | lr 0.00001 | loss 15.339
EP 98/100 | time  3.59s | reward  15052.5 | evac 322 | died 158 | eps  nan | lr 0.00001 | loss 15.115
EP 99/100 | time  3.45s | reward  17602.4 | evac 325 | died 155 | eps  nan | lr 0.00001 | loss 15.334
EP 100/100 | time  3.28s | reward  17023.9 | evac 314 | died 166 | eps  nan | lr 0.00001 | loss 15.184
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_3_NoisyDuelingDDQN.csv
