Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  2.95s | reward -27253.7 | evac  31 | died 449 | eps  nan | lr 0.00029 | loss  1.116
EP 48/100 | time  2.42s | reward  38661.1 | evac 339 | died 141 | eps  nan | lr 0.00006 | loss  8.314
EP 49/100 | time  2.61s | reward  47417.0 | evac 351 | died 129 | eps  nan | lr 0.00006 | loss  8.139
EP 50/100 | time  2.50s | reward  47013.4 | evac 349 | died 131 | eps  nan | lr 0.00005 | loss  8.015
EP 51/100 | time  2.62s | reward  41244.6 | evac 327 | died 153 | eps  nan | lr 0.00005 | loss  8.000
EP 52/100 | time  2.47s | reward  47478.9 | evac 355 | died 125 | eps  nan | lr 0.00005 | loss  7.973
EP 53/100 | time  2.67s | reward  52279.6 | evac 362 | died 118 | eps  nan | lr 0.00005 | loss  8.266
EP 54/100 | time  2.48s | reward  48208.9 | evac 377 | died 103 | eps  nan | lr 0.00005 | loss  8.411
EP 55/100 | time  2.53s | reward  48992.7 | evac 369 | died 111 | eps  nan | lr 0.00005 | loss  8.374
EP 56/100 | time  2.68s | reward  50833.6 | evac 361 | died 119 | eps  nan | lr 0.00004 | loss  7.971
EP 57/100 | time  2.41s | reward  39687.7 | evac 347 | died 133 | eps  nan | lr 0.00004 | loss  7.726
EP 58/100 | time  2.70s | reward  50885.7 | evac 381 | died  99 | eps  nan | lr 0.00004 | loss  7.568
EP 59/100 | time  2.44s | reward  42567.0 | evac 374 | died 106 | eps  nan | lr 0.00004 | loss  7.214
EP 60/100 | time  2.57s | reward  42170.3 | evac 344 | died 136 | eps  nan | lr 0.00004 | loss  7.197
EP 61/100 | time  2.45s | reward  39661.3 | evac 332 | died 148 | eps  nan | lr 0.00004 | loss  6.813
EP 62/100 | time  2.78s | reward  36749.9 | evac 324 | died 156 | eps  nan | lr 0.00004 | loss  6.472
EP 63/100 | time  2.64s | reward  35351.7 | evac 331 | died 149 | eps  nan | lr 0.00004 | loss  6.317
EP 64/100 | time  2.55s | reward  45108.5 | evac 379 | died 101 | eps  nan | lr 0.00003 | loss  6.613
EP 65/100 | time  2.52s | reward  42481.0 | evac 372 | died 108 | eps  nan | lr 0.00003 | loss  6.091
EP 66/100 | time  2.41s | reward  37655.7 | evac 325 | died 155 | eps  nan | lr 0.00003 | loss  6.190
EP 67/100 | time  2.50s | reward  40409.4 | evac 345 | died 135 | eps  nan | lr 0.00003 | loss  6.128
EP 68/100 | time  2.40s | reward  38427.5 | evac 342 | died 138 | eps  nan | lr 0.00003 | loss  5.951
EP 69/100 | time  2.64s | reward  45863.9 | evac 358 | died 122 | eps  nan | lr 0.00003 | loss  6.146
EP 70/100 | time  2.44s | reward  39822.9 | evac 345 | died 135 | eps  nan | lr 0.00003 | loss  5.912
EP 71/100 | time  2.37s | reward  40824.5 | evac 369 | died 111 | eps  nan | lr 0.00003 | loss  5.941
EP 72/100 | time  2.66s | reward  42695.7 | evac 321 | died 159 | eps  nan | lr 0.00003 | loss  5.891
EP 73/100 | time  2.72s | reward  47951.9 | evac 340 | died 140 | eps  nan | lr 0.00003 | loss  5.841
EP 74/100 | time  2.50s | reward  35904.9 | evac 314 | died 166 | eps  nan | lr 0.00002 | loss  5.668
EP 75/100 | time  2.72s | reward  41342.9 | evac 327 | died 153 | eps  nan | lr 0.00002 | loss  5.365
EP 76/100 | time  2.37s | reward  37319.4 | evac 332 | died 148 | eps  nan | lr 0.00002 | loss  5.616
EP 77/100 | time  2.36s | reward  37401.3 | evac 343 | died 137 | eps  nan | lr 0.00002 | loss  5.502
EP 78/100 | time  2.43s | reward  40611.9 | evac 344 | died 136 | eps  nan | lr 0.00002 | loss  5.438
EP 79/100 | time  2.58s | reward  36436.7 | evac 302 | died 178 | eps  nan | lr 0.00002 | loss  5.563
EP 80/100 | time  2.52s | reward  39031.3 | evac 322 | died 158 | eps  nan | lr 0.00002 | loss  5.188
EP 81/100 | time  2.44s | reward  35779.1 | evac 312 | died 168 | eps  nan | lr 0.00002 | loss  5.292
EP 82/100 | time  2.49s | reward  37546.6 | evac 317 | died 163 | eps  nan | lr 0.00002 | loss  5.335
EP 83/100 | time  2.44s | reward  33391.0 | evac 296 | died 184 | eps  nan | lr 0.00002 | loss  5.319
EP 84/100 | time  2.86s | reward  37373.4 | evac 321 | died 159 | eps  nan | lr 0.00002 | loss  5.509
EP 85/100 | time  2.69s | reward  36268.0 | evac 301 | died 179 | eps  nan | lr 0.00002 | loss  5.429
EP 86/100 | time  2.70s | reward  43581.4 | evac 340 | died 140 | eps  nan | lr 0.00002 | loss  5.375
EP 87/100 | time  2.52s | reward  35142.0 | evac 312 | died 168 | eps  nan | lr 0.00002 | loss  5.422
EP 88/100 | time  2.32s | reward  36156.6 | evac 326 | died 154 | eps  nan | lr 0.00002 | loss  5.414
EP 89/100 | time  2.48s | reward  38352.9 | evac 330 | died 150 | eps  nan | lr 0.00001 | loss  5.499
EP 90/100 | time  2.33s | reward  32701.6 | evac 310 | died 170 | eps  nan | lr 0.00001 | loss  5.158
EP 91/100 | time  2.67s | reward  39584.8 | evac 322 | died 158 | eps  nan | lr 0.00001 | loss  5.440
EP 92/100 | time  2.48s | reward  36153.2 | evac 306 | died 174 | eps  nan | lr 0.00001 | loss  5.368
EP 93/100 | time  2.62s | reward  39170.4 | evac 330 | died 150 | eps  nan | lr 0.00001 | loss  5.415
EP 94/100 | time  2.54s | reward  34968.6 | evac 315 | died 165 | eps  nan | lr 0.00001 | loss  5.404
EP 95/100 | time  2.43s | reward  33524.6 | evac 303 | died 177 | eps  nan | lr 0.00001 | loss  5.396
EP 96/100 | time  2.61s | reward  41407.2 | evac 328 | died 152 | eps  nan | lr 0.00001 | loss  5.461
EP 97/100 | time  2.45s | reward  34824.6 | evac 306 | died 174 | eps  nan | lr 0.00001 | loss  5.559
EP 98/100 | time  2.60s | reward  38286.7 | evac 313 | died 167 | eps  nan | lr 0.00001 | loss  5.621
EP 99/100 | time  2.63s | reward  40224.9 | evac 314 | died 166 | eps  nan | lr 0.00001 | loss  5.657
EP 100/100 | time  2.57s | reward  38725.2 | evac 321 | died 159 | eps  nan | lr 0.00001 | loss  5.645
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_9_NoisyDuelingDDQN.csv
