Using device: cuda
ALGORITHM: DuelingDDQN
EP 1/100 | time 39.44s | reward -17721.3 | evac  63 | died 417 | eps 0.977 | lr 0.00029 | loss  0.495
EP 25/100 | time 48.90s | reward -17714.6 | evac 250 | died 230 | eps 0.530 | lr 0.00013 | loss 39.706
EP 26/100 | time 46.99s | reward -16546.8 | evac 260 | died 220 | eps 0.516 | lr 0.00012 | loss 43.122
EP 27/100 | time 47.13s | reward -17255.2 | evac 239 | died 241 | eps 0.503 | lr 0.00012 | loss 43.631
EP 28/100 | time 45.87s | reward -15766.7 | evac 252 | died 228 | eps 0.490 | lr 0.00012 | loss 48.170
EP 29/100 | time 47.45s | reward -17115.6 | evac 263 | died 217 | eps 0.478 | lr 0.00011 | loss 53.344
EP 30/100 | time 44.97s | reward -15041.7 | evac 271 | died 209 | eps 0.466 | lr 0.00011 | loss 60.424
EP 31/100 | time 48.20s | reward -17793.7 | evac 287 | died 193 | eps 0.454 | lr 0.00010 | loss 61.041
EP 32/100 | time 45.71s | reward -14588.8 | evac 283 | died 197 | eps 0.442 | lr 0.00010 | loss 63.105
EP 33/100 | time 48.24s | reward -17566.0 | evac 288 | died 192 | eps 0.431 | lr 0.00010 | loss 59.639
EP 34/100 | time 44.48s | reward -13606.8 | evac 296 | died 184 | eps 0.420 | lr 0.00009 | loss 67.996
EP 35/100 | time 46.71s | reward -15499.5 | evac 292 | died 188 | eps 0.410 | lr 0.00009 | loss 72.123
EP 36/100 | time 47.71s | reward -16553.3 | evac 293 | died 187 | eps 0.399 | lr 0.00009 | loss 73.279
EP 37/100 | time 46.79s | reward -14366.2 | evac 312 | died 168 | eps 0.389 | lr 0.00009 | loss 76.775
EP 38/100 | time 47.81s | reward -16308.6 | evac 296 | died 184 | eps 0.379 | lr 0.00008 | loss 82.666
EP 39/100 | time 45.14s | reward -14072.7 | evac 308 | died 172 | eps 0.369 | lr 0.00008 | loss 82.365
EP 40/100 | time 45.15s | reward -14817.0 | evac 298 | died 182 | eps 0.360 | lr 0.00008 | loss 86.702
EP 41/100 | time 48.16s | reward -17147.1 | evac 317 | died 163 | eps 0.351 | lr 0.00007 | loss 88.479
EP 42/100 | time 48.81s | reward -17434.5 | evac 303 | died 177 | eps 0.342 | lr 0.00007 | loss 89.192
EP 43/100 | time 44.52s | reward -12825.6 | evac 322 | died 158 | eps 0.333 | lr 0.00007 | loss 92.047
EP 44/100 | time 45.99s | reward -14724.2 | evac 308 | died 172 | eps 0.325 | lr 0.00007 | loss 91.198
EP 45/100 | time 44.34s | reward -13620.9 | evac 326 | died 154 | eps 0.317 | lr 0.00006 | loss 96.937
EP 46/100 | time 44.31s | reward -13565.2 | evac 317 | died 163 | eps 0.309 | lr 0.00006 | loss 100.042
EP 47/100 | time 44.85s | reward -14868.0 | evac 322 | died 158 | eps 0.302 | lr 0.00006 | loss 102.423
EP 48/100 | time 46.71s | reward -15219.3 | evac 319 | died 161 | eps 0.294 | lr 0.00006 | loss 101.030
EP 49/100 | time 47.23s | reward -16301.3 | evac 314 | died 166 | eps 0.287 | lr 0.00006 | loss 106.162
EP 50/100 | time 45.74s | reward -14805.2 | evac 321 | died 159 | eps 0.279 | lr 0.00005 | loss 103.915
EP 51/100 | time 48.41s | reward -17314.0 | evac 314 | died 166 | eps 0.272 | lr 0.00005 | loss 107.001
EP 52/100 | time 48.31s | reward -16566.9 | evac 327 | died 153 | eps 0.265 | lr 0.00005 | loss 106.108
EP 53/100 | time 48.19s | reward -16631.5 | evac 319 | died 161 | eps 0.258 | lr 0.00005 | loss 109.621
EP 54/100 | time 47.53s | reward -15747.6 | evac 337 | died 143 | eps 0.251 | lr 0.00005 | loss 100.001
EP 55/100 | time 45.59s | reward -14785.2 | evac 333 | died 147 | eps 0.245 | lr 0.00005 | loss 101.443
EP 56/100 | time 46.68s | reward -15078.5 | evac 341 | died 139 | eps 0.239 | lr 0.00004 | loss 99.205
EP 57/100 | time 49.05s | reward -17296.2 | evac 340 | died 140 | eps 0.232 | lr 0.00004 | loss 100.990
EP 58/100 | time 45.92s | reward -14233.7 | evac 329 | died 151 | eps 0.226 | lr 0.00004 | loss 96.990
EP 59/100 | time 46.68s | reward -15171.4 | evac 336 | died 144 | eps 0.221 | lr 0.00004 | loss 99.448
EP 60/100 | time 46.76s | reward -14518.8 | evac 333 | died 147 | eps 0.215 | lr 0.00004 | loss 99.526
EP 61/100 | time 45.21s | reward -13491.5 | evac 352 | died 128 | eps 0.210 | lr 0.00004 | loss 91.203
EP 62/100 | time 45.33s | reward -13579.0 | evac 357 | died 123 | eps 0.205 | lr 0.00004 | loss 94.930
EP 63/100 | time 47.45s | reward -15082.7 | evac 353 | died 127 | eps 0.199 | lr 0.00004 | loss 90.747
EP 64/100 | time 49.19s | reward -17067.8 | evac 353 | died 127 | eps 0.194 | lr 0.00003 | loss 98.536
EP 65/100 | time 49.85s | reward -18225.1 | evac 345 | died 135 | eps 0.189 | lr 0.00003 | loss 91.742
EP 66/100 | time 48.76s | reward -17237.8 | evac 352 | died 128 | eps 0.184 | lr 0.00003 | loss 92.676
EP 67/100 | time 46.09s | reward -14458.2 | evac 346 | died 134 | eps 0.179 | lr 0.00003 | loss 91.880
EP 68/100 | time 45.90s | reward -14995.4 | evac 346 | died 134 | eps 0.175 | lr 0.00003 | loss 88.996
EP 69/100 | time 46.28s | reward -14299.4 | evac 335 | died 145 | eps 0.170 | lr 0.00003 | loss 90.411
EP 70/100 | time 46.23s | reward -14066.9 | evac 345 | died 135 | eps 0.166 | lr 0.00003 | loss 86.691
EP 71/100 | time 49.87s | reward -17141.5 | evac 351 | died 129 | eps 0.161 | lr 0.00003 | loss 83.188
EP 72/100 | time 47.00s | reward -14284.1 | evac 345 | died 135 | eps 0.157 | lr 0.00003 | loss 87.061
EP 73/100 | time 47.28s | reward -14994.0 | evac 339 | died 141 | eps 0.153 | lr 0.00003 | loss 82.476
EP 74/100 | time 47.85s | reward -15257.1 | evac 335 | died 145 | eps 0.149 | lr 0.00002 | loss 83.085
EP 75/100 | time 47.14s | reward -14721.0 | evac 356 | died 124 | eps 0.146 | lr 0.00002 | loss 79.775
EP 76/100 | time 47.68s | reward -15748.5 | evac 342 | died 138 | eps 0.142 | lr 0.00002 | loss 79.780
EP 77/100 | time 46.35s | reward -14737.6 | evac 338 | died 142 | eps 0.138 | lr 0.00002 | loss 75.103
EP 78/100 | time 48.47s | reward -16083.5 | evac 349 | died 131 | eps 0.135 | lr 0.00002 | loss 78.672
EP 79/100 | time 46.32s | reward -13560.9 | evac 348 | died 132 | eps 0.131 | lr 0.00002 | loss 76.508
EP 80/100 | time 44.06s | reward -11453.5 | evac 362 | died 118 | eps 0.128 | lr 0.00002 | loss 75.341
EP 81/100 | time 46.38s | reward -13582.2 | evac 336 | died 144 | eps 0.125 | lr 0.00002 | loss 73.079
EP 82/100 | time 48.71s | reward -16302.6 | evac 341 | died 139 | eps 0.122 | lr 0.00002 | loss 75.918
EP 83/100 | time 49.34s | reward -16859.5 | evac 367 | died 113 | eps 0.118 | lr 0.00002 | loss 73.458
EP 84/100 | time 48.51s | reward -16013.0 | evac 344 | died 136 | eps 0.115 | lr 0.00002 | loss 74.694
EP 85/100 | time 46.85s | reward -14720.8 | evac 352 | died 128 | eps 0.112 | lr 0.00002 | loss 71.771
EP 86/100 | time 47.58s | reward -16352.9 | evac 366 | died 114 | eps 0.109 | lr 0.00002 | loss 73.816
EP 87/100 | time 49.33s | reward -17328.8 | evac 367 | died 113 | eps 0.106 | lr 0.00002 | loss 68.600
EP 88/100 | time 46.51s | reward -14816.8 | evac 349 | died 131 | eps 0.104 | lr 0.00002 | loss 71.619
EP 89/100 | time 47.28s | reward -15137.7 | evac 362 | died 118 | eps 0.101 | lr 0.00001 | loss 70.335
EP 90/100 | time 49.28s | reward -16840.3 | evac 359 | died 121 | eps 0.098 | lr 0.00001 | loss 73.690
EP 91/100 | time 46.25s | reward -13617.7 | evac 357 | died 123 | eps 0.096 | lr 0.00001 | loss 72.353
EP 92/100 | time 47.93s | reward -14737.4 | evac 360 | died 120 | eps 0.093 | lr 0.00001 | loss 71.678
EP 93/100 | time 47.28s | reward -15650.2 | evac 356 | died 124 | eps 0.091 | lr 0.00001 | loss 66.635
EP 94/100 | time 46.00s | reward -13781.2 | evac 360 | died 120 | eps 0.089 | lr 0.00001 | loss 71.402
EP 95/100 | time 45.88s | reward -12043.4 | evac 376 | died 104 | eps 0.086 | lr 0.00001 | loss 70.522
EP 96/100 | time 52.84s | reward -20674.2 | evac 361 | died 119 | eps 0.084 | lr 0.00001 | loss 71.090
EP 97/100 | time 44.60s | reward -13486.9 | evac 374 | died 106 | eps 0.082 | lr 0.00001 | loss 68.308
EP 98/100 | time 48.38s | reward -15448.2 | evac 356 | died 124 | eps 0.080 | lr 0.00001 | loss 66.374
EP 99/100 | time 46.79s | reward -14698.1 | evac 367 | died 113 | eps 0.078 | lr 0.00001 | loss 66.417
EP 100/100 | time 47.05s | reward -13780.3 | evac 354 | died 126 | eps 0.076 | lr 0.00001 | loss 63.933
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_5_DuelingDDQN.csv
