Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time  2.47s | reward -15227.7 | evac 115 | died 365 | eps 0.975 | lr 0.00029 | loss  0.226
EP 25/100 | time  1.81s | reward  18206.8 | evac 293 | died 187 | eps 0.531 | lr 0.00013 | loss  2.337
EP 26/100 | time  1.85s | reward  21172.5 | evac 323 | died 157 | eps 0.518 | lr 0.00012 | loss  2.243
EP 27/100 | time  1.92s | reward  25236.6 | evac 349 | died 131 | eps 0.504 | lr 0.00012 | loss  2.258
EP 28/100 | time  1.94s | reward  23985.7 | evac 299 | died 181 | eps 0.491 | lr 0.00012 | loss  2.453
EP 29/100 | time  2.01s | reward  26404.1 | evac 328 | died 152 | eps 0.479 | lr 0.00011 | loss  2.404
EP 30/100 | time  2.41s | reward  28383.0 | evac 345 | died 135 | eps 0.466 | lr 0.00011 | loss  2.577
EP 31/100 | time  2.03s | reward  21874.9 | evac 321 | died 159 | eps 0.455 | lr 0.00010 | loss  2.440
EP 32/100 | time  1.91s | reward  23765.0 | evac 331 | died 149 | eps 0.443 | lr 0.00010 | loss  2.423
EP 33/100 | time  1.94s | reward  22215.7 | evac 314 | died 166 | eps 0.433 | lr 0.00010 | loss  2.630
EP 34/100 | time  1.80s | reward  23512.6 | evac 311 | died 169 | eps 0.422 | lr 0.00009 | loss  2.627
EP 35/100 | time  1.81s | reward  25114.3 | evac 317 | died 163 | eps 0.412 | lr 0.00009 | loss  2.374
EP 36/100 | time  1.93s | reward  32362.3 | evac 339 | died 141 | eps 0.401 | lr 0.00009 | loss  2.391
EP 37/100 | time  2.00s | reward  32030.2 | evac 317 | died 163 | eps 0.390 | lr 0.00009 | loss  2.594
EP 38/100 | time  1.89s | reward  25768.4 | evac 287 | died 193 | eps 0.380 | lr 0.00008 | loss  2.754
EP 39/100 | time  1.95s | reward  29188.5 | evac 314 | died 166 | eps 0.370 | lr 0.00008 | loss  2.591
EP 40/100 | time  1.75s | reward  21547.2 | evac 294 | died 186 | eps 0.361 | lr 0.00008 | loss  2.536
EP 41/100 | time  1.88s | reward  29209.1 | evac 324 | died 156 | eps 0.352 | lr 0.00007 | loss  2.558
EP 42/100 | time  1.93s | reward  31411.6 | evac 328 | died 152 | eps 0.343 | lr 0.00007 | loss  2.488
EP 43/100 | time  1.88s | reward  29227.0 | evac 322 | died 158 | eps 0.334 | lr 0.00007 | loss  2.714
EP 44/100 | time  1.88s | reward  26981.2 | evac 300 | died 180 | eps 0.326 | lr 0.00007 | loss  2.615
EP 45/100 | time  1.87s | reward  24841.0 | evac 306 | died 174 | eps 0.318 | lr 0.00006 | loss  2.193
EP 46/100 | time  1.91s | reward  25315.0 | evac 303 | died 177 | eps 0.309 | lr 0.00006 | loss  2.224
EP 47/100 | time  1.86s | reward  24397.7 | evac 305 | died 175 | eps 0.302 | lr 0.00006 | loss  2.267
EP 48/100 | time  1.92s | reward  21446.4 | evac 304 | died 176 | eps 0.294 | lr 0.00006 | loss  2.011
EP 49/100 | time  1.91s | reward  27619.3 | evac 325 | died 155 | eps 0.287 | lr 0.00006 | loss  2.020
EP 50/100 | time  2.06s | reward  28437.3 | evac 324 | died 156 | eps 0.279 | lr 0.00005 | loss  1.819
EP 51/100 | time  1.80s | reward  27695.6 | evac 319 | died 161 | eps 0.272 | lr 0.00005 | loss  1.729
EP 52/100 | time  1.95s | reward  26617.4 | evac 307 | died 173 | eps 0.265 | lr 0.00005 | loss  1.669
EP 53/100 | time  1.99s | reward  33236.9 | evac 330 | died 150 | eps 0.258 | lr 0.00005 | loss  1.695
EP 54/100 | time  1.93s | reward  33292.4 | evac 345 | died 135 | eps 0.251 | lr 0.00005 | loss  1.488
EP 55/100 | time  2.02s | reward  33278.4 | evac 347 | died 133 | eps 0.244 | lr 0.00005 | loss  1.406
EP 56/100 | time  1.96s | reward  33329.8 | evac 354 | died 126 | eps 0.237 | lr 0.00004 | loss  1.533
EP 57/100 | time  1.90s | reward  28237.6 | evac 312 | died 168 | eps 0.231 | lr 0.00004 | loss  1.612
EP 58/100 | time  2.19s | reward  30024.7 | evac 325 | died 155 | eps 0.225 | lr 0.00004 | loss  1.408
EP 59/100 | time  2.07s | reward  28922.6 | evac 335 | died 145 | eps 0.220 | lr 0.00004 | loss  1.616
EP 60/100 | time  1.97s | reward  27685.0 | evac 316 | died 164 | eps 0.214 | lr 0.00004 | loss  1.524
EP 61/100 | time  1.82s | reward  25576.9 | evac 330 | died 150 | eps 0.209 | lr 0.00004 | loss  1.375
EP 62/100 | time  1.84s | reward  27580.2 | evac 320 | died 160 | eps 0.203 | lr 0.00004 | loss  1.333
EP 63/100 | time  1.82s | reward  24125.0 | evac 310 | died 170 | eps 0.198 | lr 0.00004 | loss  1.360
EP 64/100 | time  1.90s | reward  28802.3 | evac 317 | died 163 | eps 0.193 | lr 0.00003 | loss  1.309
EP 65/100 | time  1.82s | reward  28828.8 | evac 327 | died 153 | eps 0.189 | lr 0.00003 | loss  1.233
EP 66/100 | time  2.06s | reward  30994.5 | evac 327 | died 153 | eps 0.184 | lr 0.00003 | loss  1.112
EP 67/100 | time  1.80s | reward  26508.2 | evac 320 | died 160 | eps 0.179 | lr 0.00003 | loss  1.181
EP 68/100 | time  1.96s | reward  26357.4 | evac 320 | died 160 | eps 0.174 | lr 0.00003 | loss  1.059
EP 69/100 | time  1.98s | reward  31145.3 | evac 322 | died 158 | eps 0.170 | lr 0.00003 | loss  1.084
EP 70/100 | time  1.88s | reward  27689.0 | evac 318 | died 162 | eps 0.165 | lr 0.00003 | loss  0.935
EP 71/100 | time  1.94s | reward  26480.3 | evac 324 | died 156 | eps 0.161 | lr 0.00003 | loss  1.024
EP 72/100 | time  1.81s | reward  25857.3 | evac 302 | died 178 | eps 0.157 | lr 0.00003 | loss  1.011
EP 73/100 | time  1.91s | reward  26683.6 | evac 305 | died 175 | eps 0.153 | lr 0.00003 | loss  0.791
EP 74/100 | time  2.02s | reward  29709.5 | evac 315 | died 165 | eps 0.149 | lr 0.00002 | loss  0.925
EP 75/100 | time  1.95s | reward  25965.5 | evac 306 | died 174 | eps 0.145 | lr 0.00002 | loss  0.893
EP 76/100 | time  1.88s | reward  25911.4 | evac 306 | died 174 | eps 0.141 | lr 0.00002 | loss  1.074
EP 77/100 | time  1.95s | reward  25171.3 | evac 281 | died 199 | eps 0.138 | lr 0.00002 | loss  0.864
EP 78/100 | time  1.90s | reward  24874.6 | evac 305 | died 175 | eps 0.134 | lr 0.00002 | loss  0.898
EP 79/100 | time  1.96s | reward  21052.5 | evac 277 | died 203 | eps 0.131 | lr 0.00002 | loss  0.936
EP 80/100 | time  2.00s | reward  29059.8 | evac 306 | died 174 | eps 0.127 | lr 0.00002 | loss  0.750
EP 81/100 | time  1.95s | reward  23403.7 | evac 295 | died 185 | eps 0.124 | lr 0.00002 | loss  0.799
EP 82/100 | time  2.00s | reward  20978.8 | evac 263 | died 217 | eps 0.120 | lr 0.00002 | loss  0.848
EP 83/100 | time  1.91s | reward  23462.2 | evac 277 | died 203 | eps 0.117 | lr 0.00002 | loss  0.806
EP 84/100 | time  1.85s | reward  21256.5 | evac 298 | died 182 | eps 0.114 | lr 0.00002 | loss  0.898
EP 85/100 | time  1.91s | reward  22921.8 | evac 281 | died 199 | eps 0.111 | lr 0.00002 | loss  0.905
EP 86/100 | time  1.90s | reward  23385.9 | evac 288 | died 192 | eps 0.109 | lr 0.00002 | loss  0.838
EP 87/100 | time  2.01s | reward  24137.1 | evac 289 | died 191 | eps 0.106 | lr 0.00002 | loss  0.829
EP 88/100 | time  1.94s | reward  24318.1 | evac 285 | died 195 | eps 0.103 | lr 0.00002 | loss  0.903
EP 89/100 | time  1.86s | reward  25645.7 | evac 292 | died 188 | eps 0.100 | lr 0.00001 | loss  0.876
EP 90/100 | time  1.86s | reward  28994.8 | evac 310 | died 170 | eps 0.098 | lr 0.00001 | loss  0.787
EP 91/100 | time  1.89s | reward  29247.6 | evac 305 | died 175 | eps 0.095 | lr 0.00001 | loss  0.956
EP 92/100 | time  1.91s | reward  25815.3 | evac 300 | died 180 | eps 0.093 | lr 0.00001 | loss  0.805
EP 93/100 | time  1.86s | reward  23772.1 | evac 284 | died 196 | eps 0.090 | lr 0.00001 | loss  0.861
EP 94/100 | time  1.88s | reward  25655.1 | evac 293 | died 187 | eps 0.088 | lr 0.00001 | loss  0.897
EP 95/100 | time  1.94s | reward  25239.3 | evac 290 | died 190 | eps 0.086 | lr 0.00001 | loss  0.948
EP 96/100 | time  1.84s | reward  26334.4 | evac 296 | died 184 | eps 0.084 | lr 0.00001 | loss  0.853
EP 97/100 | time  1.86s | reward  28791.6 | evac 312 | died 168 | eps 0.082 | lr 0.00001 | loss  0.838
EP 98/100 | time  1.82s | reward  28061.7 | evac 313 | died 167 | eps 0.080 | lr 0.00001 | loss  0.859
EP 99/100 | time  1.91s | reward  27304.8 | evac 300 | died 180 | eps 0.078 | lr 0.00001 | loss  0.835
EP 100/100 | time  2.01s | reward  31730.0 | evac 323 | died 157 | eps 0.076 | lr 0.00001 | loss  0.813
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_9_DuelingDDQNPrioritized.csv
