Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  3.85s | reward -14572.1 | evac  37 | died 443 | eps  nan | lr 0.00029 | loss  0.441
EP 52/100 | time  3.67s | reward  14098.5 | evac 282 | died 198 | eps  nan | lr 0.00005 | loss  1.033
EP 53/100 | time  3.77s | reward  20287.0 | evac 319 | died 161 | eps  nan | lr 0.00005 | loss  1.132
EP 54/100 | time  3.78s | reward   7433.6 | evac 207 | died 273 | eps  nan | lr 0.00005 | loss  1.145
EP 55/100 | time  3.97s | reward   3694.6 | evac 181 | died 299 | eps  nan | lr 0.00005 | loss  1.120
EP 56/100 | time  4.08s | reward    642.9 | evac 174 | died 306 | eps  nan | lr 0.00004 | loss  1.177
EP 57/100 | time  4.10s | reward   7484.4 | evac 193 | died 287 | eps  nan | lr 0.00004 | loss  1.108
EP 58/100 | time  3.72s | reward   -509.8 | evac 171 | died 309 | eps  nan | lr 0.00004 | loss  1.135
EP 59/100 | time  3.74s | reward  -4700.6 | evac 135 | died 345 | eps  nan | lr 0.00004 | loss  1.083
EP 60/100 | time  4.26s | reward  -3478.5 | evac 117 | died 363 | eps  nan | lr 0.00004 | loss  1.121
EP 61/100 | time  3.66s | reward  14433.6 | evac 206 | died 274 | eps  nan | lr 0.00004 | loss  1.107
EP 62/100 | time  3.65s | reward   3803.7 | evac 200 | died 280 | eps  nan | lr 0.00004 | loss  1.108
EP 63/100 | time  3.77s | reward   6410.0 | evac 178 | died 302 | eps  nan | lr 0.00004 | loss  1.077
EP 64/100 | time  4.24s | reward    682.4 | evac 156 | died 324 | eps  nan | lr 0.00003 | loss  1.039
EP 65/100 | time  3.95s | reward -11671.9 | evac  56 | died 424 | eps  nan | lr 0.00003 | loss  0.995
EP 66/100 | time  4.00s | reward  -6018.7 | evac 119 | died 361 | eps  nan | lr 0.00003 | loss  1.021
EP 67/100 | time  3.92s | reward   8435.0 | evac 204 | died 276 | eps  nan | lr 0.00003 | loss  0.996
EP 68/100 | time  3.73s | reward  14115.1 | evac 271 | died 209 | eps  nan | lr 0.00003 | loss  1.098
EP 69/100 | time  4.48s | reward  24567.6 | evac 278 | died 202 | eps  nan | lr 0.00003 | loss  1.024
EP 70/100 | time  4.29s | reward  29424.0 | evac 315 | died 165 | eps  nan | lr 0.00003 | loss  1.013
EP 71/100 | time  4.02s | reward  16706.9 | evac 250 | died 230 | eps  nan | lr 0.00003 | loss  0.980
EP 72/100 | time  3.73s | reward  15040.9 | evac 300 | died 180 | eps  nan | lr 0.00003 | loss  1.033
EP 73/100 | time  3.82s | reward  13992.3 | evac 272 | died 208 | eps  nan | lr 0.00003 | loss  1.013
EP 74/100 | time  3.83s | reward  19384.5 | evac 262 | died 218 | eps  nan | lr 0.00002 | loss  1.078
EP 75/100 | time  3.91s | reward  26930.6 | evac 320 | died 160 | eps  nan | lr 0.00002 | loss  1.055
EP 76/100 | time  3.51s | reward  22943.7 | evac 297 | died 183 | eps  nan | lr 0.00002 | loss  1.062
EP 77/100 | time  3.95s | reward  15428.7 | evac 291 | died 189 | eps  nan | lr 0.00002 | loss  1.035
EP 78/100 | time  3.67s | reward  16246.6 | evac 277 | died 203 | eps  nan | lr 0.00002 | loss  1.035
EP 79/100 | time  3.76s | reward  27221.1 | evac 307 | died 173 | eps  nan | lr 0.00002 | loss  1.085
EP 80/100 | time  3.68s | reward  13559.5 | evac 294 | died 186 | eps  nan | lr 0.00002 | loss  1.118
EP 81/100 | time  3.74s | reward  18395.1 | evac 269 | died 211 | eps  nan | lr 0.00002 | loss  1.217
EP 82/100 | time  3.74s | reward  18077.8 | evac 279 | died 201 | eps  nan | lr 0.00002 | loss  1.140
EP 83/100 | time  3.59s | reward  13535.4 | evac 290 | died 190 | eps  nan | lr 0.00002 | loss  1.096
EP 84/100 | time  3.52s | reward  23519.1 | evac 296 | died 184 | eps  nan | lr 0.00002 | loss  1.114
EP 85/100 | time  3.86s | reward  23521.1 | evac 294 | died 186 | eps  nan | lr 0.00002 | loss  1.117
EP 86/100 | time  3.70s | reward  18121.2 | evac 255 | died 225 | eps  nan | lr 0.00002 | loss  1.076
EP 87/100 | time  3.16s | reward  19879.5 | evac 313 | died 167 | eps  nan | lr 0.00002 | loss  1.071
EP 88/100 | time  3.13s | reward  23549.2 | evac 305 | died 175 | eps  nan | lr 0.00002 | loss  1.143
EP 89/100 | time  3.47s | reward  18040.4 | evac 287 | died 193 | eps  nan | lr 0.00001 | loss  1.020
EP 90/100 | time  3.62s | reward  24958.8 | evac 301 | died 179 | eps  nan | lr 0.00001 | loss  1.083
EP 91/100 | time  4.33s | reward  20168.8 | evac 284 | died 196 | eps  nan | lr 0.00001 | loss  1.077
EP 92/100 | time  3.35s | reward  24005.3 | evac 288 | died 192 | eps  nan | lr 0.00001 | loss  1.043
EP 93/100 | time  3.00s | reward  19228.1 | evac 286 | died 194 | eps  nan | lr 0.00001 | loss  1.136
EP 94/100 | time  3.73s | reward  21689.7 | evac 259 | died 221 | eps  nan | lr 0.00001 | loss  1.167
EP 95/100 | time  3.71s | reward  20305.0 | evac 277 | died 203 | eps  nan | lr 0.00001 | loss  1.063
EP 96/100 | time  3.38s | reward  25597.4 | evac 286 | died 194 | eps  nan | lr 0.00001 | loss  1.070
EP 97/100 | time  2.90s | reward  30188.2 | evac 282 | died 198 | eps  nan | lr 0.00001 | loss  1.142
EP 98/100 | time  2.79s | reward  24242.2 | evac 286 | died 194 | eps  nan | lr 0.00001 | loss  1.092
EP 99/100 | time  2.57s | reward  23565.8 | evac 290 | died 190 | eps  nan | lr 0.00001 | loss  1.169
EP 100/100 | time  3.53s | reward  20333.6 | evac 291 | died 189 | eps  nan | lr 0.00001 | loss  1.050
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_1_NoisyDuelingDDQN.csv
